1091 veux une                       t' en veux une autre ?
1092 alors on                       alors on défait tout ?
1093 legos on                       les autres legos on peut
1105 ben oui                        ben oui .
1118 alors attends                  alors attends !
1138 yeux ouverts                   # les yeux ouverts , oui
1139 pas envie                      a peut-être pas envie de
1141 louis et                       marie et louis et maman ?
1146 pas assez                      ne fait pas assez chaud
1159 peut essayer                   on peut essayer marie , si
1166 pas appuyer                    il faut pas appuyer .
1168 maman un                       bras de maman un petit
1175 jouer à                       tu veux jouer à autre chose
1177 regarder un                    tu veux regarder un autre livre
1178 jouer avec                     tu veux jouer avec .
1194 enlever ici                    pas les enlever ici .
1200 pas aller                      on va pas aller sur le
1201 pas encore                     t' es pas encore habillée .
1203 seras habillée                quand tu seras habillée .
1207 est avec                       il est avec maman .
1208 pas exactement                 je sais pas exactement où ils
1208 exactement où                 sais pas exactement où ils
1222 pas encore                     on peut pas encore la
1225 mets ici                       tu la mets ici en
1230 veux encore                    tu veux encore en mettre d'
1237 est un                         est-ce qui est un peu
1241 fais attention                 fais attention à toi .
1241 attention à                   fais attention à toi .
1242 es un                          t(u) es un peu trop au
1242 trop au                        un peu trop au bord
1245 bien au                        tu es bien au milieu
1253 lapin aussi                    bout de lapin aussi ?
1260 un yaourt                      as mangé un yaourt ?
1263 pas à                         c' est pas à moi
1273 mais il                        oui , mais il n' y
1273 pas encore                     y a pas encore la
1283 et après                      et après .
1294 mais on                        oh , mais on peut le
1304 est où                        , il est où le
1331 panier et                      , le panier et le
1338 descends un                    tu descends un peu parce qu'
1340 descends un                    tu descends un peu contre le
1341 en haut                        que tout en haut ,
1342 doivent aller                  pièces qui doivent aller .
1345 en haut                        va tout en haut .
1347 en haut                        va tout en haut le
1349 pas où                        je sais pas où ça
1352 faut encore                    il faut encore mettre quelques pièces
1367 alors attends                  alors attends !
1368 doit encore                    on doit encore rajouter des choses
1369 peux aller                     , tu peux aller mettre
1371 ballon il                      le ballon il est là .
1380 mouton on                      le mouton on peut pas encore
1380 pas encore                     on peut pas encore le
1386 sais où                       tu sais où il va le
1389 alors il                       là , alors il reste ,
1414 jouer avec                     tu veux jouer avec ça ?
1426 fais une                       je fais une maison tranquillement ,
1431 fais une                       tu fais une fenêtre devant la
1436 vin à                         chercher du vin à la
1439 veux encore                    tu veux encore monter ?
1457 montrer à                     tu veux montrer à maman ?
1483 viens à                       tu viens à côté de papa
1486 viens à                       tu viens à côté de papa
