1      n' monte                      nm§t                         non on n' monte pas
14231  l' eau                        lo                           sont dans l' eau .
14233  l' eau                        lo                           poissons dans l' eau dans
14235  des oiseaux                   de zwa-zo                     des oiseaux .
14236  des oiseaux                   de zwa-zo                     des oiseaux .
14237  c' est                        se                           c' est des oiseaux .
14237  des oiseaux                   de zwa-zo                     c' est des oiseaux .
14238  qu' est-ce                    kEs                          qu' est-ce qu' i' sont donc
14238  qu' i'                        ki                           qu' est-ce qu' i' sont donc
14238  les oiseaux                   le zwa-zo                     sont donc les oiseaux ?
14239  qu' est-ce                    kEs                          qu' est-ce que c' est ca
14239  c' est                        se                           est-ce que c' est ca
14240  des ailes                     de zEl                        ce sont des ailes .
14241  les oiseaux                   le zwa-zo                     ca volent les oiseaux oui ?
14242  c' qu'                        sk                           comment c' qu' i' font avec
14242  qu' i'                        ski                          comment c' qu' i' font avec
14242  les ailes                     le zEl                        font avec les ailes ?
14243  les oiseaux                   le zwa-zo                     vas casser les oiseaux aussi
14244  qu' il                        kil                          oh qu' il est beau .
14244  il est                        ki le                         oh qu' il est beau .
14246  c' est                        se                           non c' est pas un lapin
14247  c' est                        se                           c' est un ecureuil .
14249  c' est                        se                           c' est l' ecureuil .
14249  l' ecureuil                   l#                           c' est l' ecureuil .
14251  qu' il                        kil                          ou est-ce qu' il habite l'
14251  il habite                     ki la-bit                     est-ce qu' il habite l'
14251  l' ecureuil                   l#                           il habite l' ecureuil ?
14253  qu' il                        kil                          ou est-ce qu' il habite l'
14253  il habite                     ki la-bit                     est-ce qu' il habite l'
14253  l' ecureuil                   l#                           il habite l' ecureuil ?
14254  t' en                         t@n                          t' en as deja vu hein
14254  en as                         t@ na                         t' en as deja vu hein
14255  qu' il                        kil                          ou est-ce qu' il habite ?
14255  il habite                     ki la-bit                     est-ce qu' il habite ?
14259  un arbre                      1 naRb                        va trouver un arbre l'
14259  l' ecureuil                   l#                           un arbre l' ecureuil ?
14261  qu' est-ce                    kEs                          et qu' est-ce qu' i' fait
14261  qu' i'                        ki                           qu' est-ce qu' i' fait
14261  l' arbre                      laRbR                        fait avec l' arbre ?
14262  l' arbre                      laRbR                        monte dans l' arbre ?
14263  qu' i'                        ki                           est-ce qu' i' monte dans l'
14263  l' arbre                      laRbR                        monte dans l' arbre ?
14264  c' est                        se                           c' est la un arbre oui
14264  un arbre                      1 naRbR                       est la un arbre oui
14264  arbre oui                     naR bRwi                      la un arbre oui .
14265  l' arbre                      laRb                         monte dans l' arbre l'
14265  l' ecureuil                   l#                           l' arbre l' ecureuil ?
14266  l' arbre                      laRbR                        lui dans l' arbre ?
14267  l' ecureuil                   l#                           pas comme l' ecureuil m
14269  qu' est-ce                    kEs                          qu' est-ce qu' i' r' garde
14269  qu' i'                        ki                           qu' est-ce qu' i' r' garde
14270  qu' est-ce                    kEs                          qu' est-ce que c' est ca
14270  c' est                        se                           est-ce que c' est ca
14274  qu' i'                        ki                           ou est-ce qu' i' y
14275  qu' i'                        ki                           ou est-ce qu' i' sont les
14276  l' eau                        lo                           dans l' eau ?
14277  l' ciel                       lsjEl                        dans l' ciel aussi ?
14277  ciel aussi                    lsjE lo-si                    dans l' ciel aussi ?
14283  des ailes                     de zEl                        papillons avec des ailes .
14284  leurs ailes                   l9R zEl                       ca avec leurs ailes les
14285  alors i'                      a-lO Ri                       alors i' volent .
14286  l' ciel                       lsjEl                        dans l' ciel aussi .
14286  ciel aussi                    lsjE lo-si                    dans l' ciel aussi .
14288  c' est                        se                           ca c' est un mouton .
14289  c' est                        se                           c' est deux moutons .
14296  l' gros                       lgRo                         sous dans l' gros chien
14298  c' est                        se                           c' est pas beau .
14299  c' est                        se                           c' est pas propre .
14302  c' est                        se                           c' est pas propre .
14306  qu' est-ce                    kEs                          oui qu' est-ce qu' i' y
14306  qu' i'                        ki                           qu' est-ce qu' i' y
14312  n' vas                        nva                          tu n' vas pas * l'
14312  l' canard                     lka-naR                      pas * l' canard ?
14313  c' est                        se                           c' est ca ?
14314  t' comprendrais               tk§-pR@-dRE                  bouche je t' comprendrais mieux
14317  d' sus                        dsys                         sauter au d' sus des
14318  d' pas                        dpa                          houp~la attention d' pas tomber la
14319  c' est                        se                           ah ca c' est mieux .
14321  c' est                        se                           et ben c' est beau .
14322  mettre un                     mE tR1                        tu veux mettre un seau ?
14323  l' seau                       lso                          ras tomber l' seau a
14323  terre alors                   tE Ra-lOR                     seau a terre alors ?
14329  t' es                         tE                           t' es un vrai p' tit
14331  n' pas                        npa                          tention de n' pas faire
14331  c' qu'                        sk                           tomber tou c' qu' i'
14331  qu' i'                        ski                          tou c' qu' i' y
14333  d' sous                       dsu                          sont en d' sous du divan
14335  c' est                        se                           la mais c' est des autres
14335  des autres                    de zotR                       c' est des autres hein
14336  les a                         le za                         mets les a terre ainsi .
14336  terre ainsi                   tE R5-si                      les a terre ainsi .
14337  l' autre                      lot                          ca dans l' autre sens
14339  ferme un                      fER m1                        ferme un peu la porte .
14343  n' marche                     nmaRS                        ca n' marche pas .
14344  n' roule                      nRul                         ca n' roule pas .
14345  n' sais                       nsE                          mais je n' sais pas
14345  pile est                      pi le                         le la pile est encore
14346  qu' il                        kil                          je crois qu' il est elle
14346  il est                        ki let                        crois qu' il est elle
14346  est elle                      le tEl                        qu' il est elle est
14346  elle est                      tE le                         il est elle est trop
14348  on ira                        § ni-Ra                       on ira ach' ter une pile
14348  ter une                       tE Ryn                        ira ach' ter une pile
14350  n' saurais                    nso-RE                       je n' saurais pas hein cheri
14351  n' ai                         nE                           je n' ai plus d' piles
14351  d' piles                      dpil                         ai plus d' piles .
14352  pile elle                     pi lEl                        la pile elle est .
14352  elle est                      lE le                         la pile elle est .
14353  j' espere                     Z#                           j' espere que tu n' l'
14353  n' l'                         nl                           que tu n' l' as
14353  l' as                         nla                          tu n' l' as pas
14360  l' auto                       lo-to                        ah l' auto il a parque
14360  il a                          i la                          l' auto il a parque
14360  l' auto                       lo-to                        a parque l' auto tout
14360  d' sa                         dsa                          tout pres d' sa maison
14362  il a                          i la                          il a mis l' auto tout
14362  l' auto                       lo-to                        a mis l' auto tout
14370  l' telephone                  lte-le-fOn                   dans l' telephone ?
14371  c' est                        se                           ohoh c' est une madame qui
14372  c' est                        se                           c' est une madame qui telephone
14373  toujours une                  tu-Zu Ryn                     toujours une madame ?
14375  qu' est                       ke                           et qu' est c' qu' elle
14375  c' qu'                        sk                           qu' est c' qu' elle
14375  qu' elle                      skEl                         est c' qu' elle dit
14377  qu' est                       ke                           qu' est c' qu' i' y
14377  c' qu'                        sk                           qu' est c' qu' i' y
14377  qu' i'                        ski                          est c' qu' i' y
14378  qu' est                       ke                           qu' est c' qui * ?
14378  c' qui                        ski                          qu' est c' qui * ?
14379  qu' est                       ke                           qu' est c' qu' i' y
14379  c' qu'                        sk                           qu' est c' qu' i' y
14379  qu' i'                        ski                          est c' qu' i' y
14382  pour aller                    pu Ra-le                      not' maison pour aller au
14383  c' que                        sk2                          pourquoi c' que tu n' veux
14383  n' veux                       nv2                          que tu n' veux pas
14385  c' que                        sk2                          pourquoi c' que tu n' veux
14385  n' veux                       nv2                          que tu n' veux pas
14389  s' ra                         sRa                          voila elle s' ra toute pleine
14393  elle a                        E la                          elle a eu mal la pomme
14394  l' as                         la                           tu l' as fait tomber .
14396  n' as                         na                           tu n' as pas fait tomber
14397  n' est                        ne                           elle n' est pas tombee ?
14400  sucette en                    sy-sE t@                      pas sa sucette en bouche
14401  n' parle                      npaRl                        on n' parle pas bien quand
14401  quand on                      k@ t§                         pas bien quand on met
14401  sucette en                    sy-sE t@                      met sa sucette en bouche
14404  t' as                         ta                           t' as pousse sur le bouton
14405  c' est                        se                           mais c' est pas un bouton
14406  qu' est                       ke                           qu' est c' qu' elle fait
14406  c' qu'                        sk                           qu' est c' qu' elle fait
14406  qu' elle                      skEl                         est c' qu' elle fait
14407  qu' est                       ke                           qu' est c' qu' elle fait
14407  c' qu'                        sk                           qu' est c' qu' elle fait
14407  qu' elle                      skEl                         est c' qu' elle fait
14409  qu' est                       ke                           qu' est c' qu' elle fait
14409  c' qu'                        sk                           qu' est c' qu' elle fait
14409  qu' elle                      skEl                         est c' qu' elle fait
14411  danse oui                     d@ swi                        elle danse oui ?
14412  donne un                      dO n1                         donne un peu .
14417  n' sais                       nsE                          je n' sais pas mon cheri
14418  n' sais                       nsE                          je n' sais pas hein .
14420  c' est                        se                           c' est bon ?
14422  n' sais                       nsE                          oh je n' sais pas ou
14422  l' monsieur                   lm°-sj2                      aller moi l' monsieur .
14423  n' sais                       nsE                          je n' sais pas .
14428  c' qu'                        sk                           comment c' qu' on peut jouer
14428  qu' on                        sk§                          comment c' qu' on peut jouer
14430  t' as                         ta                           m t' as ete ou ?
14433  dans un                       d@ z1                         ah pas dans un magasin .
14435  raconte un                    Ra-k§ t1                      raconte un peu a maman .
14437  raconte un                    Ra-k§ t1                      raconte un peu dans l' enregistreur
14437  l' enregistreur               l@R-Zis-tR9R                 peu dans l' enregistreur ou
14437  enregistreur ou               l@R-Zis-tR9 Ru                dans l' enregistreur ou t'
14437  t' es                         tE                           enregistreur ou t' es alle
14441  elle avait                    E la-vE                       elle avait des bougies sur son
14443  elle a                        E la                          oui elle a recu beaucoup de
14444  elle a                        E la                          elle a recu beaucoup des cadeaux
14446  n' a                          na                           non elle n' a pas eu
14447  l' monde                      lm§d                         hein tout l' monde lui
14448  t' as                         ta                           toi t' as apporte un cadeau
14448  apporte un                    a-pOR t1                      t' as apporte un cadeau
14449  donne un                      dO n1                         lui as donne un grand
14450  t' as                         ta                           t' as donne le cadeau ?
14452  il est                        i le                          ou il est quoi ?
14453  on est                        § ne                          on est alle au magasin pour
14453  l' cadeau                     lka-do                       ach' ter l' cadeau pas
14454  l' cadeau                     lka-do                       ach' ter l' cadeau qu'
14454  qu' on                        k§n                          l' cadeau qu' on est
14454  on est                        k§ ne                         cadeau qu' on est alle
14455  n' a                          na                           on n' a pas ach' te
14456  m et                          E me                          m et puis on est alle
14456  on est                        § ne                          et puis on est alle
14457  on a                          § na                          non on a ete pour faire
14458  qu' est                       ke                           qu' est c' qu' on a
14458  c' qu'                        sk                           qu' est c' qu' on a
14458  qu' on                        sk§n                         est c' qu' on a
14458  on a                          sk§ na                        c' qu' on a fait
14458  donc encore                   d§ k@-kOR                     a fait donc encore ?
14460  qu' est                       ke                           qu' est c' qu' on a
14460  c' qu'                        sk                           qu' est c' qu' on a
14460  qu' on                        sk§n                         est c' qu' on a
14460  on a                          sk§ na                        c' qu' on a fait
14461  qu' est                       ke                           qu' est c' qu' .
14461  c' qu'                        sk                           qu' est c' qu' .
14462  on est                        § ne                          on est alle chez une madame
14462  chose a                       So za                         fait quelque chose a la
14462  gorge oui                     gOR Zwi                       a la gorge oui ?
14463  n' es                         nE                           tu n' es pas alle faire
14463  faire une                     fE Ryn                        pas alle faire une visite
14464  n' a                          na                           madame n' a pas fait quelque
14464  chose a                       So za                         fait quelque chose a la
14465  mettre un                     mE tR1                        te mettre un p' tit baton
14466  n' a                          na                           madame n' a pas mis un
14467  faire oui                     fE Rwi                        a du faire oui ?
14468  il est                        i le                          ah il est parti .
14470  qu' est                       ke                           pour raconter qu' est c' qu'
14470  c' qu'                        sk                           qu' est c' qu' on
14470  qu' on                        sk§n                         est c' qu' on a
14470  on a                          sk§ na                        c' qu' on a fait
14472  qu' est                       ke                           qu' est c' qu' on a
14472  c' qu'                        sk                           qu' est c' qu' on a
14472  qu' on                        sk§n                         est c' qu' on a
14472  on a                          sk§ na                        c' qu' on a fait
14473  qu' est                       ke                           oui qu' est c' qu' on
14473  c' qu'                        sk                           qu' est c' qu' on
14473  qu' on                        sk§n                         est c' qu' on a
14473  on a                          sk§ na                        c' qu' on a fait
14474  raconte un                    Ra-k§ t1                      raconte un peu hein stephan qu'
14474  qu' est                       ke                           hein stephan qu' est c'
14474  c' qu'                        sk                           qu' est c' qu' on
14474  qu' on                        sk§                          est c' qu' on .
14475  on a                          § na                          on a fait quoi ?
14476  qu' est                       ke                           qu' est c' qu' on a
14476  c' qu'                        sk                           qu' est c' qu' on a
14476  qu' on                        sk§n                         est c' qu' on a
14476  on a                          sk§ na                        c' qu' on a fait
14477  qu' est                       ke                           qu' est c' qu' i' y
14477  c' qu'                        sk                           qu' est c' qu' i' y
14477  qu' i'                        ski                          est c' qu' i' y
14478  qu' est                       ke                           qu' est c' qui a souffle
14478  c' qui                        ski                          qu' est c' qui a souffle
14480  qu' est                       ke                           qu' est c' qui a souffle
14480  c' qui                        ski                          qu' est c' qui a souffle
14482  qu' est                       ke                           et qu' est c' qu' on
14482  c' qu'                        sk                           qu' est c' qu' on
14482  qu' on                        sk§n                         est c' qu' on avait
14482  on avait                      sk§ na-vE                     c' qu' on avait sur
14484  n' en                         n@n                          toi tu n' en avais
14484  en avais                      n@ na-vE                      tu n' en avais pas
14485  n' as                         na                           et tu n' as pas mis
14490  c' est                        se                           non ca c' est * .
14496  n' as                         na                           tu n' as pas encore mange
14499  n' commence                   nko-m@s                      on n' commence pas les pommes
14499  pommes et                     pO me                         pas les pommes et puis
14501  n' manges                     nm@Z                         non tu n' manges plus
14502  c' est                        se                           non c' est fini .
14503  j' ai                         ZE                           non j' ai dit .
14504  l' anniversaire               la-ni-vER-sER                deja eu l' anniversaire de
14507  glaces aujourd'hui            gla so-ZuR-d8i                eu deux glaces aujourd'hui .
14508  mange une                     m@ Zyn                        as deja mange une glace
14509  c' que                        sk2                          est c' que tu as mange
14509  mange une                     m@ Zyn                        tu as mange une glace
14511  c' est                        se                           ou que c' est beau .
14513  vite en                       vi t@                         viens vite en bas .
14514  t' enregistre                 t@R-ZistR                    on t' enregistre .
14515  vite ainsi                    vi t5-si                      allez viens vite ainsi .
14516  t' enregistre                 t@R-ZistR                    on t' enregistre .
14519  qu' est                       ke                           et ca qu' est c' que
14519  c' que                        sk2                          qu' est c' que c'
14519  c' est                        se                           c' que c' est ?
14521  c' est                        se                           c' est quoi donc ca ?
14522  qu' est                       ke                           qu' est c' que c' est
14522  c' que                        sk2                          qu' est c' que c' est
14522  c' est                        se                           c' que c' est ca
14523  c' est                        se                           non c' est pas la police
14526  c' est                        se                           ca c' est pas la police
14527  qu' est                       ke                           qu' est c' que c' est
14527  c' que                        sk2                          qu' est c' que c' est
14527  c' est                        se                           c' que c' est ca
14530  l' auto                       lo-to                        i' tire l' auto parce que
14530  l' auto                       lo-to                        parce que l' auto elle
14530  elle est                      E le                          l' auto elle est en
14531  il avance                     i la-v@s                      le monsieur il avance avec
14531  avance avec                   la-v@ sa-vEk                  monsieur il avance avec sa
14531  l' auto                       lo-to                        qui tire l' auto .
14532  l' auto                       lo-to                        elle tire l' auto la depaneuse
14533  l' auto                       lo-to                        elle leve l' auto .
14534  l' auto                       lo-to                        l' auto est levee et c'
14534  c' est                        se                           levee et c' est l'
14534  l' au                         lo                           c' est l' au c'
14534  c' est                        se                           l' au c' est la
14535  c' est                        se                           c' est l' camion qui depanne
14535  l' camion                     lka-mj§                      c' est l' camion qui depanne
14536  c' qu'                        sk                           camion~la ou c' qu' il
14536  qu' il                        skil                         ou c' qu' il est
14536  il est                        ski le                        c' qu' il est donc
14539  c' qu'                        sk                           ou c' qu' il est ce
14539  qu' il                        skil                         ou c' qu' il est ce
14539  il est                        ski le                        c' qu' il est ce
14541  c' est                        se                           c' est quoi ?
14542  qu' est                       ke                           qu' est c' que c' est
14542  c' que                        sk2                          qu' est c' que c' est
14542  c' est                        se                           c' que c' est donc
14543  c' est                        se                           oui mais c' est dans dans
14546  il est                        i le                          il est dans le garage .
14549  garage avec                   ga-Ra Za-vEk                  dans le garage avec l'
14549  l' auto                       lo-to                        garage avec l' auto ?
14550  les autos                     le zo-to                      on voit les autos comme
14550  l' air                        lER                          ca en l' air oui
14550  air oui                       lE Rwi                        en l' air oui ?
14552  qu' est                       ke                           et ca qu' est c' que
14552  c' que                        sk2                          qu' est c' que c'
14552  c' est                        se                           c' que c' est ?
14554  c' est                        se                           c' est pour quoi faire quoi
14555  c' est                        se                           oh c' est d' l' essence
14555  d' l'                         dl                           c' est d' l' essence
14555  l' essence                    dle-s@s                      est d' l' essence pour
14555  l' auto                       lo-to                        essence pour l' auto ?
14556  c' est                        se                           c' est un quoi tout ca
14557  c' est                        se                           c' est un ga .
14558  c' est                        se                           c' est un garage oui ?
14558  garage oui                    ga-Ra Zwi                     est un garage oui ?
14559  qu' est                       ke                           ouyouille qu' est c' que c'
14559  c' que                        sk2                          qu' est c' que c'
14559  c' est                        se                           c' que c' est ca
14560  qu' est                       ke                           qu' est c' que c' est
14560  c' que                        sk2                          qu' est c' que c' est
14560  c' est                        se                           c' que c' est ca
14561  c' est                        se                           c' est un camion .
14563  tout au                       tu to                         i' monte tout au d'
14563  d' sus                        dsys                         tout au d' sus .
14564  t' as                         ta                           t' as deja vu un camion
14565  avec un                       a-vE k1                       avec un monsieur qui etait tout
14565  tout au                       tu to                         qui etait tout au d'
14565  d' sus                        dsys                         tout au d' sus dans
14565  les arbres                    le zaRbR                      sus dans les arbres ?
14566  qu' est                       ke                           oui qu' est c' qu' i'
14566  c' qu'                        sk                           qu' est c' qu' i'
14566  qu' i'                        ski                          est c' qu' i' faisait
14566  l' monsieur                   lm°-sj2                      i' faisait l' monsieur qu'
14566  qu' on                        k§n                          l' monsieur qu' on avait
14566  on avait                      k§ na-vE                      monsieur qu' on avait vu
14566  les arbres                    le zaRbR                      vu dans les arbres ?
14567  il est                        i le                          oh il est la dans une
14567  dans une                      d@ zyn                        est la dans une petite
14567  cabine et                     ka-bi ne                      une petite cabine et alors
14567  alors on                      a-lO R§                       cabine et alors on fait
14567  l' monsieur                   lm°-sj2                      fait monter l' monsieur .
14569  alors on                      a-lO R§                       alors on va encore r' garder
14569  l' livre                      llivR                        r' garder l' livre une
14569  livre une                     lli vRyn                      garder l' livre une fois
14570  raconte a                     Ra-k§ ta                      ah raconte a maman c' que
14570  c' que                        sk2                          a maman c' que c'
14570  c' est                        se                           c' que c' est .
14571  qu' est                       ke                           qu' est c' que c' est
14571  c' que                        sk2                          qu' est c' que c' est
14571  c' est                        se                           c' que c' est ?
14572  c' est                        se                           c' est quoi ?
14574  qu' est                       ke                           qu' est c' que c' est
14574  c' que                        sk2                          qu' est c' que c' est
14574  c' est                        se                           c' que c' est ainsi
14575  c' est                        se                           c' est un camion qui nettoie
14586  qu' est                       ke                           et la qu' est c'
14586  c' qu'                        sk                           qu' est c' qu' elle
14586  qu' elle                      skEl                         est c' qu' elle fait
14587  qu' est                       ke                           oh qu' est c' qu' i'
14587  c' qu'                        sk                           qu' est c' qu' i'
14587  qu' i'                        ski                          est c' qu' i' fait
14588  qu' est                       ke                           qu' est c' qu' i' fait
14588  c' qu'                        sk                           qu' est c' qu' i' fait
14588  qu' i'                        ski                          est c' qu' i' fait
14589  qu' est                       ke                           oui mais qu' est c' qu'
14589  c' qu'                        sk                           qu' est c' qu' il
14589  qu' il                        skil                         est c' qu' il a
14589  il a                          ski la                        c' qu' il a fait
14592  qu' est                       ke                           qu' est c' qu' i' fait
14592  c' qu'                        sk                           qu' est c' qu' i' fait
14592  qu' i'                        ski                          est c' qu' i' fait
14593  grimpe au                     gR5 po                        i' grimpe au poteau ?
14597  qu' est                       ke                           qu' est c' qu' elle fait
14597  c' qu'                        sk                           qu' est c' qu' elle fait
14597  qu' elle                      skEl                         est c' qu' elle fait
14598  qu' est                       ke                           ah qu' est c' qu' elle
14598  c' qu'                        sk                           qu' est c' qu' elle
14598  qu' elle                      skEl                         est c' qu' elle fait
14601  qu' est                       ke                           qu' est c' qu' elle fait
14601  c' qu'                        sk                           qu' est c' qu' elle fait
14601  qu' elle                      skEl                         est c' qu' elle fait
14603  qu' est                       ke                           qu' est c' qu' elle va
14603  c' qu'                        sk                           qu' est c' qu' elle va
14603  qu' elle                      skEl                         est c' qu' elle va
14604  verse avec                    vER sa-vEk                    oui on verse avec le camion
14606  qu' est                       ke                           qu' est c' qu' on verse
14606  c' qu'                        sk                           qu' est c' qu' on verse
14606  qu' on                        sk§                          est c' qu' on verse
14611  c' est                        se                           oui ca c' est mieux
14612  qu' est                       ke                           qu' est c' qu' on verse
14612  c' qu'                        sk                           qu' est c' qu' on verse
14612  qu' on                        sk§                          est c' qu' on verse
14615  qu' est                       ke                           la grue qu' est c'
14615  c' qu'                        sk                           qu' est c' qu' elle
14615  qu' elle                      skEl                         est c' qu' elle a
14615  elle a                        skE la                        c' qu' elle a fait
14616  elle a                        E la                          elle a fait quoi la grue
14617  qu' elle                      kEl                          qu' elle fait la grue ?
14619  qu' est                       ke                           qu' est c' qu' elle fait
14619  c' qu'                        sk                           qu' est c' qu' elle fait
14619  qu' elle                      skEl                         est c' qu' elle fait
14623  l' sol                        lsOl                         la dans l' sol .
14626  n' sais                       nsE                          si tu n' sais pas ca
14627  qu' est                       ke                           qu' est c' que c' est
14627  c' que                        sk2                          qu' est c' que c' est
14627  c' est                        se                           c' que c' est ca
14628  qu' est                       ke                           m qu' est c' que c'
14628  c' que                        sk2                          qu' est c' que c'
14628  c' est                        se                           c' que c' est ?
14629  c' est                        se                           c' est quoi ?
14630  c' est                        se                           c' est quoi ?
14640  faire un                      fE R1                         pour faire un chemin ?
14641  faire un                      fE R1                         pour faire un chemin dans la
14644  c' est                        se                           voila c' est fini la .
14645  c' est                        se                           voila c' est fini .
14646  l' auto                       lo-to                        chevaux dans l' auto ?
14647  c' ui~la                      s#                           oui c' ui~la on va pas
14649  qu' est                       ke                           qu' est c' que c' est
14649  c' que                        sk2                          qu' est c' que c' est
14649  c' est                        se                           c' que c' est donc
14650  c' n'                         sn                           non c' n' est pas la
14650  n' est                        sne                          non c' n' est pas la
14652  il a                          i la                          le monsieur il a le
14653  l' eau                        lo                           lancer de l' eau sur
14655  qu' est                       ke                           ohoh qu' est c' que c'
14655  c' que                        sk2                          qu' est c' que c'
14655  c' est                        se                           c' que c' est ca
14656  qu' est                       ke                           qu' est c' que c' est
14656  c' que                        sk2                          qu' est c' que c' est
14656  c' est                        se                           c' que c' est ca
14657  sont elles                    s§ tEl                        ou sont elles donc ?
14659  les autos                     le zo-to                      les autos sur l' autoroute oui
14659  l' autoroute                  lo-to-Rut                    autos sur l' autoroute oui
14659  autoroute oui                 lo-to-Ru twi                  sur l' autoroute oui ?
14661  c' est                        se                           c' est une autoroute ?
14661  une autoroute                 y no-to-Rut                   c' est une autoroute ?
14662  c' qu'                        sk                           ceux~la ou c' qu' elles sont
14662  qu' elles                     skEl                         ou c' qu' elles sont
14662  les autos                     le zo-to                      elles sont les autos ?
14665  c' qu'                        sk                           la ou c' qu' elles
14665  qu' elles                     skEl                         ou c' qu' elles sont
14665  les autos                     le zo-to                      elles sont les autos ?
14666  les autos                     le zo-to                      vas voler les autos toi
14668  l' auto                       lo-to                        pour lever l' auto .
14669  l' auto                       lo-to                        pour * l' auto .
14671  c' qu'                        sk                           pourquoi c' qu' elle etait comme
14671  qu' elle                      skEl                         pourquoi c' qu' elle etait comme
14671  elle etait                    skE le-tE                     c' qu' elle etait comme
14672  qu' elle                      kEl                          parce qu' elle est cassee ?
14672  elle est                      kE le                         parce qu' elle est cassee ?
14673  l' auto                       lo-to                        roule plus l' auto ?
14674  l' auto                       lo-to                        plus rouler l' auto ?
14675  l' auto                       lo-to                        camion tire l' auto .
14676  s' en                         s@                           tout s' en va .
14677  l' auto                       lo-to                        plus rouler l' auto parce
14677  qu' il                        kil                          auto parce qu' il n'
14677  n' y                          ni                           qu' il n' y a
14677  d' essence                    de-s@s                       a plus d' essence dans
14677  l' auto                       lo-to                        essence dans l' auto ?
14678  qu' est                       ke                           qu' est c' qu' i' faut
14678  c' qu'                        sk                           qu' est c' qu' i' faut
14678  qu' i'                        ski                          est c' qu' i' faut
14678  faire alors                   fE Ra-lOR                     i' faut faire alors ?
14679  d' aut                        d#                           a pas d' aut de
14679  l' essence                    le-s@s                       aut de l' essence dans
14679  l' auto                       lo-to                        essence dans l' auto qu'
14679  qu' est                       ke                           l' auto qu' est c'
14679  c' qu'                        sk                           qu' est c' qu' elle
14679  qu' elle                      skEl                         est c' qu' elle fait
14679  l' auto                       lo-to                        elle fait l' auto ?
14680  n' avance                     na-v@s                       ah elle n' avance pas .
14681  d' l'                         dl                           i' faut d' l' essence pour
14681  l' essence                    dle-s@s                      faut d' l' essence pour
14681  pour avancer                  pu Ra-v@-se                   l' essence pour avancer ?
14683  n' sait                       nsE                          on n' sait plus en met'
14683  plus en                       ply z@                        n' sait plus en met'
14685  d' l'                         dl                           faut mettre d' l' essence
14685  l' essence                    dle-s@s                      mettre d' l' essence dans
14685  l' auto                       lo-to                        essence dans l' auto ?
14686  qu' est                       ke                           m qu' est c' qu' i'
14686  c' qu'                        sk                           qu' est c' qu' i'
14686  qu' i'                        ski                          est c' qu' i' y
14689  on y                          § ni                          on y va ?
14690  qu' est                       ke                           qu' est c' que c' est
14690  c' que                        sk2                          qu' est c' que c' est
14690  c' est                        se                           c' que c' est ?
14691  c' est                        se                           non c' est pas un jouet
14693  c' est                        se                           c' est un jouet .
14694  c' est                        se                           c' est comme toi ca .
14695  n' roule                      nRul                         ca n' roule pas sur la
14696  qu' elle                      kEl                          vois bien qu' elle roule
14696  l' auto                       lo-to                        fille avec l' auto .
14698  alors on                      a-lO R§                       puis alors on sort de la
14698  il a                          i la                          la et il a descendu
14698  l' monde                      lm§d                         descendu tout l' monde .
14699  quand il                      k@ til                        quand il a fini il retourne
14699  il a                          ti la                         quand il a fini il retourne
14701  qu' est                       ke                           qu' est c' que tu as
14701  c' que                        sk2                          qu' est c' que tu as
14702  lampe oui                     l@ pwi                        la lampe oui .
14707  l' camion                     lka-mj§                      quoi dans l' camion ?
14708  qu' est                       ke                           qu' est c' qu' on met
14708  c' qu'                        sk                           qu' est c' qu' on met
14708  qu' on                        sk§                          est c' qu' on met
