1      n' monte                      nm§t                         non on n' monte pas
205    qu' elle                      kEl                          qu' est-ce qu' elle fait donc
206    elle est                      E le                          elle est a terre elle donne
206    terre elle                    tE REl                        est a terre elle donne
206    salade au                     sa-la do                      de la salade au p'
207    salade au                     sa-la do                      de la salade au lapin .
210    c' est                        se                           oh c' est quoi donc ca
211    qu' est-ce                    kEs                          qu' est-ce que c' est ?
211    c' est                        se                           est-ce que c' est ?
212    c' n'                         sn                           mais non c' n' est pas
212    n' est                        sne                          non c' n' est pas
213    c' est                        se                           c' est quoi ?
214    c' est                        se                           sucre que c' est .
216    qu' est-ce                    kEs                          qu' est-ce qu' i' font donc
216    qu' i'                        ki                           qu' est-ce qu' i' font donc
220    montre un                     m§ tR1                        montre un peu l' gateau .
220    l' gateau                     lga-tO                       un peu l' gateau .
227    l' chocolat                   lSo-ko-la                    on sent l' chocolat quand
227    quand on                      k@ t§                         l' chocolat quand on frotte
229    c' est                        se                           c' est un gateau au chocolat
230    c' est                        se                           et ca c' est quoi ?
233    qu' est-ce                    kEs                          oh qu' est-ce qu' elle a
233    qu' elle                      kEl                          qu' est-ce qu' elle a
233    elle a                        kE la                         est-ce qu' elle a fait
234    qu' est-ce                    kEs                          qu' est-ce qu' elle a fait
234    qu' elle                      kEl                          qu' est-ce qu' elle a fait
234    elle a                        kE la                         est-ce qu' elle a fait
235    qu' est-ce                    kEs                          qu' est-ce qu' elle a dans
235    qu' elle                      kEl                          qu' est-ce qu' elle a dans
235    elle a                        kE la                         est-ce qu' elle a dans
237    elle a                        E la                          elle a coupe les fleurs .
238    qu' est-ce                    kEs                          et qu' est-ce qu' i' fait
238    qu' i'                        ki                           qu' est-ce qu' i' fait
239    qu' est-ce                    kEs                          qu' est-ce qu' i' fait ?
239    qu' i'                        ki                           qu' est-ce qu' i' fait ?
241    d' sa                         dsa                          regarde pres d' sa bouche .
242    qu' est-ce                    kEs                          qu' est-ce qu' i' fait ?
242    qu' i'                        ki                           qu' est-ce qu' i' fait ?
244    qu' est-ce                    kEs                          qu' est-ce qu' i' fait nicolas
244    qu' i'                        ki                           qu' est-ce qu' i' fait nicolas
246    qu' est-ce                    kEs                          qu' est-ce qu' i' fait ?
246    qu' i'                        ki                           qu' est-ce qu' i' fait ?
247    n' met                        nmE                          non i' n' met pas ca
248    qu' est-ce                    kEs                          qu' est-ce qu' i' fait ?
248    qu' i'                        ki                           qu' est-ce qu' i' fait ?
249    qu' est-ce                    kEs                          qu' est-ce qu' i' fait donc
249    qu' i'                        ki                           qu' est-ce qu' i' fait donc
249    donc avec                     d§ ka-vEk                     i' fait donc avec la
253    qu' est-ce                    kEs                          et ca qu' est-ce que c'
253    c' est                        se                           est-ce que c' est donc
254    qu' est-ce                    kEs                          qu' est-ce que c' est la
254    c' est                        se                           est-ce que c' est la
258    l' jardin                     lZaR-d5                      travaille dans l' jardin .
259    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
259    qu' i'                        ki                           qu' est-ce qu' i' y a
259    l' jardin                     lZaR-d5                      a dans l' jardin ?
260    qu' est-ce                    kEs                          qu' est-ce que tu vois dans
260    l' jardin                     lZaR-d5                      vois dans l' jardin la
261    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
261    qu' i'                        ki                           qu' est-ce qu' i' y a
262    qu' est-ce                    kEs                          qu' est-ce que c' est ca
262    c' est                        se                           est-ce que c' est ca
264    qu' est-ce                    kEs                          et ca qu' est-ce que c'
264    c' est                        se                           est-ce que c' est ?
265    n' le                         nl2                          tu n' le sais pas hein
266    c' est                        se                           c' est une fleur .
267    qu' est-ce                    kEs                          et qu' est-ce qu' i' fait
267    qu' i'                        ki                           qu' est-ce qu' i' fait
268    qu' est-ce                    kEs                          qu' est-ce qu' i' fait ?
268    qu' i'                        ki                           qu' est-ce qu' i' fait ?
270    sens un                       s@ s1                         sens un peu la fleur toi
271    sens un                       s@ s1                         sens un peu la fleur la
272    comme elle                    kO mEl                        sens comme elle sent bon .
279    sens encore                   s@ s@-kOR                     sens encore .
281    elle a                        E la                          elle a une bonne odeur ?
281    bonne odeur                   bO no-d9R                     a une bonne odeur ?
282    c' est                        se                           ca c' est un cerf volant
284    d' fleurs                     dfl9R                        a plus d' fleurs .
285    c' est                        se                           non ca c' est un arbre
285    un arbre                      1 naRb                        c' est un arbre ce
285    n' est                        ne                           arbre ce n' est pas
288    il a                          i la                          la nicolas il a une
289    sens un                       s@ s1                         sens un peu .
298    qu' est-ce                    kEs                          et nicolas qu' est-ce qu' i'
298    qu' i'                        ki                           qu' est-ce qu' i' *
302    qu' est-ce                    kEs                          quoi qu' est-ce qu' i' va
302    qu' i'                        ki                           qu' est-ce qu' i' va
303    qu' i'                        ki                           ou est-ce qu' i' va aller
304    regarde un                    R°-gaR d1                     regarde un peu .
305    il a                          i la                          il a deja les yeux fermes
305    les yeux                      le zj2                        a deja les yeux fermes
306    il est                        i le                          il est fatigue .
308    il est                        i le                          il est fatigue i' va aller
308    fatigue i'                    fa-ti gi                      il est fatigue i' va aller
310    d' aller                      da-le                        et avant d' aller faire dodo
310    d' la                         dla                          un peu d' la confiture
310    confiture aux                 k§-fi-ty Ro                   d' la confiture aux fraises
311    sens un                       s@ s1                         sens un peu la fraise .
320    c' sont                       ss§                          pas titi c' sont des p'
322    encore aller                  @-kO Ra-le                    i' pourront encore aller jouer
328    l' beau                       lbo                          a donne l' beau livre
329    t' rappelles                  tRa-pEl                      tu t' rappelles bien ?
330    c' beau                       sbo                          a donne c' beau livre~la
331    c' est                        se                           * c' est muriel et valerie
331    muriel et                     myR-jie le                    c' est muriel et valerie
332    muriel et                     myR-jie le                    muriel et valerie qui ont donne
333    t' rappelles                  tRa-pEl                      tu t' rappelles bien d' valerie
333    d' valerie                    d#                           rappelles bien d' valerie ?
334    muriel et                     myR-jie le                    muriel et valerie .
335    il a                          i la                          il a peur ?
339    elle etait                    E le-tE                       elle etait ou muriel ?
342    l' temps                      lt@                          porte tout l' temps ?
345    elle etait                    E le-tE                       valerie elle etait la ?
355    alors il                      a-lO Ril                      a papa alors il est
355    il est                        Ri le                         papa alors il est l'
355    l' heure                      l9R                          il est l' heure .
357    lance a                       l@ sa                         allez lance a maman la balle
360    c' est                        se                           c' est tres bien .
365    en avant                      @ na-v@                       tes mains en avant .
366    en avant                      @ na-v@                       en avant les mains .
374    c' est                        se                           ouh c' est pas bien lance
396    qu' il                        kil                          ou est-ce qu' il est l'
396    il est                        ki le                         est-ce qu' il est l'
396    l' bateau                     lba-to                       il est l' bateau ?
397    il est                        i le                          il est la ?
398    il est                        i le                          il est sur l' eau .
398    l' eau                        lo                           est sur l' eau .
399    l' eau                        lo                           sur l' eau l' bateau oui
399    l' bateau                     lba-to                       l' eau l' bateau oui
400    qu' est-ce                    kEs                          qu' est-ce qu' on voit encore
400    qu' on                        k§                           qu' est-ce qu' on voit encore
404    qu' est-ce                    kEs                          qu' est-ce qu' i' y a
404    qu' i'                        ki                           qu' est-ce qu' i' y a
406    en a                          @ na                          y en a beaucoup y a
408    s' mettre                     smEtR                        maman va s' mettre a
408    mettre a                      smE tRa                       va s' mettre a terre
408    terre et                      tE Re                         mettre a terre et faire
410    c' est                        se                           non non c' est trop fatigant
410    sale avec                     sa la-vEk                     etre toute sale avec une
410    avec une                      la-vE kyn                     toute sale avec une belle
411    m oui                         E mwi                         m oui mais pas a terre
413    n' se                         ns2                          non on n' se met
414    qu' est-ce                    kEs                          qu' est-ce qu' on fait dehors
414    qu' on                        k§                           qu' est-ce qu' on fait dehors
415    c' est                        se                           c' est quoi ca ?
416    c' est                        se                           non non c' est ferme
417    c' est                        se                           regarde c' est ferme .
422    ils ont                       il z§                         ils ont chaud ?
423    qu' est-ce                    kEs                          qu' est-ce que tu fais ?
425    elle a                        E la                          elle a chaud l' auto .
425    l' auto                       lo-to                        a chaud l' auto .
431    qu' est-ce                    kEs                          qu' est-ce que maman doit faire
434    stephane i'                   ste-fa ni                     et stephane i' doit rattraper la
435    balle attraper                ba la-tRa-pe                  rattraper la balle attraper .
436    l' auto                       lo-to                        oh dans l' auto oui ?
437    l' auto                       lo-to                        le divan l' auto .
439    stephane ou                   ste-fa nu                     stephane ou bien les enfants ?
439    les enfants                   le z@-f@                      ou bien les enfants ?
440    il a                          i la                          il a peur .
441    les enfants                   le z@-f@                      les enfants vont .
442    les enfants                   le z@-f@                      les enfants a la porte ?
443    porte aussi                   pOR to-si                     a la porte aussi celle~la
444    les enfants                   le z@-f@                      deux portes les enfants ?
445    qu' est-ce                    kEs                          et qu' est-ce qu' i' zavaient
445    qu' i'                        ki                           qu' est-ce qu' i' zavaient
446    qu' est-ce                    kEs                          qu' est-ce qu' i' zont mis
446    qu' i'                        ki                           qu' est-ce qu' i' zont mis
449    qu' est-ce                    kEs                          qu' est-ce qu' i' zont mis
449    qu' i'                        ki                           qu' est-ce qu' i' zont mis
450    qu' i'                        ki                           unmasque qu' i' zont mis sur
454    les enfants                   le z@-f@                      oui les enfants sont partis maint'
457    d' musique                    dmy-zik                      a pas d' musique maint'
464    t' as                         ta                           t' as rattrape ?
467    balle a                       ba la                         lancer la balle a maman
468    balle a                       ba la                         lancer la balle a maman ?
480    il a                          i la                          tres bien il a attrape
482    qu' est-ce                    kEs                          qu' est-ce que maman doit faire
483    qu' i'                        ki                           ' qu' i' faut qu' elle
483    qu' elle                      kEl                          i' faut qu' elle fasse
485    balle a                       ba la                         lancer la balle a fafa .
486    balle a                       ba la                         lancer la balle a stephane .
494    n' a                          na                           i' n' a pas attrape la
497    qu' on                        k§                           beau dessin qu' on fait
498    c' est                        se                           c' est pour donner a papa
499    l' etagere                    le-ta-ZER                    le sur l' etagere .
500    d' cote                       dkOt                         mets le d' cote .
502    c' est                        se                           c' est tres bien .
504    c' est                        se                           c' est pour donner a papa
505    ramasse un                    Ra-ma s1                      ramasse un peu l' livre aussi
505    l' livre                      llivR                        un peu l' livre aussi
505    livre aussi                   lli vRo-si                    peu l' livre aussi la
512    c' est                        se                           c' est tres bien .
522    qu' est-ce                    kEs                          qu' est-ce que t' as trouve
522    t' as                         ta                           est-ce que t' as trouve
523    l' auto                       lo-to                        l' auto ?
525    j' sais                       SsE                          j' sais pas s' i' y
525    s' i'                         si                           sais pas s' i' y
526    j' crois                      SkRwa                        j' crois pas qu' i' y
526    qu' i'                        ki                           crois pas qu' i' y
528    t' a                          ta                           maman t' a donne des bateaux
533    prendre un                    pR@ dR1                       fafa veut prendre un bain ?
535    prendre un                    pR@ dR1                       tu veux prendre un bain dans
536    l' eau                        lo                           non l' eau est la .
537    c' est                        se                           non ca c' est le ciel
537    l' eau                        lo                           pas la l' eau .
538    c' est                        se                           bateau oui c' est *
538    l' bateau                     lba-to                       est * l' bateau .
539    qu' est-ce                    kEs                          qu' est-ce qu' on voit encore
539    qu' on                        k§                           qu' est-ce qu' on voit encore
547    lance alors                   l@ sa-lOR                     lance alors .
550    qu' maman                     kma-m@                       tu veux qu' maman l'
550    l' attrape                    la-tRap                      qu' maman l' attrape ?
557    il est                        i le                          ah oui il est dans l'
557    l' auto                       lo-to                        est dans l' auto si
559    n' avance                     na-v@s                       mais elle n' avance pas
559    belle auto                    bE lo-to                      seule ta belle auto .
560    l' auto                       lo-to                        tomber avec l' auto ?
573    j' en                         Z@n                          j' en ai plus cheri .
573    en ai                         Z@ nE                         j' en ai plus cheri .
575    qu' est-ce                    kEs                          qu' est-ce que tu dis ?
577    pile est                      pi le                         la pile est en d' sous
