1671 peut être                     p2t EtR
1671 bien être                     bj5n EtR
1677 peut être                     p2t EtR
1680 est une                       et yn
1696 quand il                      k@t il
1708 est un                        et 1
1726 quand il                      k@t il
1726 un escalier                   1n Es-ka-lje
1728 un escalier                   1n Es-ka-lje
1728 quand il                      k@t il
1738 est une                       et yn
1741 on a                          §n a
1756 est un                        et 1
1757 peut être                     p2t EtR
1758 on apprend                    §n a-pR@
1804 content adrien                k§-t@t a-dRi-j5
1809 est à                         et a
1822 très amusant                  tREz a-my-z@
1844 on entend                     §n @-t@
1846 un avion                      1n a-vj§
1867 ton oreille                   t§n o-REj
1876 tout en                       tut @
1921 on est                        §n e
1944 est à                         et a
1959 comment il                    ko-m@t il
1980 les enfants                   lez @-f@
1991 est allumée                   et a-ly-me
1999 quand il                      k@t il
2003 mon amour                     m§n a-muR
2031 peut être                     p2t EtR
2032 peut être                     p2t EtR
2032 plus à                        plyz a
2038 les exemples                  lez Eg-z@pl
2040 tout à                        tut a
2041 fait il                       fEt il
2046 nous un                       nuz 1
2054 est un                        et 1
2113 est elle                      et El
2158 comment il                    ko-m@t il
2159 comment il                    ko-m@t il
2187 est un                        et 1
2189 un éléphant                   1n e-le-f@
2190 est aux                       et o
2190 aux enfants                   oz @-f@
2211 est il                        et il
2213 est à                         et a
2306 est un                        et 1
2315 on entend                     §n @-t@
2328 bien il                       bj5n il
2337 est en                        et @
2354 dans une                      d@z yn
2362 peut être                     p2t EtR
2377 est entré                     et @-tRe
2380 est elle                      et El
2382 peut être                     p2t EtR
2386 tout à                        tut a
2389 peut être                     p2t EtR
2425 les ai                        lez E
2426 mon amour                     m§n a-muR
2428 on a                          §n a
2451 sont ils                      s§t il
2482 est un                        et 1
2494 est aussi                     et o-si
2504 est un                        et 1
2527 est un                        et 1
2545 est un                        et 1
2567 sont ils                      s§t il
2569 sont ils                      s§t il
2575 vas y                         vaz i
2582 vas y                         vaz i
2607 on ouvre                      §n uvR
2619 peut être                     p2t EtR
2623 est il                        et il
2624 est il                        et il
2642 est assis                     et a-si
2643 est assis                     et a-si
2650 comment elles                 ko-m@t El
2652 comment elles                 ko-m@t El
2667 vas y                         vaz i
2669 vas y                         vaz i
2676 est un                        et 1
2677 est un                        et 1
2691 est à                         et a
2722 est un                        et 1
2728 les as                        lez a
2757 est à                         et a
2762 est adrien                    et a-dRi-j5
2771 est un                        et 1
2814 peut être                     p2t EtR
2816 est une                       et yn
2819 un y                          1n i
2820 peut être                     p2t EtR
2824 est en                        et @
2832 tout éclaté                   tut e-kla-te
2844 on a                          §n a
2845 on a                          §n a
2874 est à                         et a
2876 est un                        et 1
2876 un avion                      1n a-vj§
2877 est un                        et 1
2877 un avion                      1n a-vj§
2884 est entortillé                et @-tOR-ti-je
2894 un éléphant                   1n e-le-f@
2897 un éléphant                   1n e-le-f@
2905 est une                       et yn
2906 est une                       et yn
2909 est une                       et yn
2936 est à                         et a
2941 peut être                     p2t EtR
2950 on ouvre                      §n uvR
2951 on ouvre                      §n uvR
2959 bien alors                    bj5n a-lOR
2963 est éteinte                   et e-t5t
2995 petit homme                   p°-tit Om
2996 les a                         lez a
2999 tout à                        tut a
3025 des adjectifs                 dez ad-ZEk-tif
3030 des articles                  dez aR-tikl
3034 comment il                    ko-m@t il
3071 les épaules                   lez e-pol
3080 comment il                    ko-m@t il
3081 est assis                     et a-si
3096 petits enfants                p°-tiz @-f@
3100 plus après                    plyz a-pRE
3118 tout est                      tut e
3118 bien arrêté                   bj5n a-Re-te
3119 tout est                      tut e
3122 est assis                     et a-si
3124 est assis                     et a-si
3129 peut être                     p2t EtR
3166 peut être                     p2t EtR
3172 est elle                      et El
3173 est elle                      et El
3174 est elle                      et El
3175 un inconvénient               1n 5-k§-ve-nj@
3191 est elle                      et El
