8    on essaye                     §n e-sEj                      on essaye d' en sortir un
725  gros ours                     gRoz uRs                      est un gros ours !
730  gros ours                     gRoz uRs                      mange le gros ours ?
731  gros ours                     gRoz uRs                      mange le gros ours ?
737  est il                        et il                         est il dans la pendule le
740  en a                          @n a                          il y en a plus .
753  gros yeux                     gRoz j2                       avec ses gros yeux .
755  en a                          @n a                          y en a plus !
756  en a                          @n a                          y en a plus de quoi
769  les yeux                      lez j2                        les yeux de l' hippopotame !
770  gros yeux                     gRoz j2                       hum les gros yeux !
771  petit oiseau                  p°-tit wa-zo                  , un petit oiseau .
782  on est                        §n e                          téléphone , on est passé de
783  bien à                        bj5n a                        ça passera bien à l'
790  peut être                     p2t EtR                       c' est peut être les
793  peut être                     p2t EtR                       peut être .
800  peut être                     p2t EtR                       peut être .
801  peut être                     p2t EtR                       peut être .
849  est un                        et 1                          c' est un singe .
879  tout est                      tut e                         ça , tout est tranquille
894  des yeux                      dez j2                        il a des yeux terribles ,
899  est un                        et 1                          ça c' est un petit
899  petit oiseau                  p°-tit wa-zo                  est un petit oiseau .
931  très univoque                 tREz y-ni-vOk                 c' est très univoque ,
942  quand il                      k@t il                        va voir quand il retrouve
1017 peut être                     p2t EtR                       y aura peut être pas
1024 est extra                     et Ek-stRa                    c' est extra , hein ?
1044 petit amour                   p°-tit a-muR                  petit amour .
1060 peut être                     p2t EtR                       c' est peut être ranger
1064 tout à                        tut a                         est pas tout à fait
1107 des après                     dez a-pRE                     est pas des après midi
1115 vas y                         vaz i                         allez , vas y .
1138 est important                 et 5-pOR-t@                   oh c' est important * .
1148 est une                       et yn                         c' est une fleur .
1160 est assis                     et a-si                       il est assis dans la chaise
1162 est assis                     et a-si                       il est assis sur la mallette
1195 est un                        et 1                          c' est un peu loin ,
1207 belles oreilles               bElz o-REj                    avec de belles oreilles , là
1221 est un                        et 1                          oh elle est un peu petite
1250 des objets                    dez Ob-ZE                     montre sur des objets identiques
1250 objets identiques             Ob-ZEz i-d@-tik               sur des objets identiques .
1251 les oppositions               lez o-po-zi-sj§               lui fais les oppositions .
1256 est encore                    et @-kOR                      qu' il est encore au
1268 quand il                      k@t il                        ai dépouillé quand il est
1268 est allé                      et a-le                       quand il est allé chercher
1269 est allé                      et a-le                       il est allé le jeter dans
1274 un air                        1n ER                         il prend un air perplexe
1274 un air                        1n ER                         inets d' un air de
1293 est un                        et 1                          ça c' est un jeu inépuisable
1296 on a                          §n a                          on a encore droit à un
1297 les endroits                  lez @-dRwa                    de montrer les endroits où
1309 est à                         et a                          c' est à grégoire ?
1310 est une                       et yn                         c' est une voiture à grégoire
1316 on entend                     §n @-t@                       ce qu' on entend ?
1318 on entend                     §n @-t@                       ce qu' on entend ?
1323 est une                       et yn                         non c' est une sirène qui
1326 peut être                     p2t EtR                       peut être .
1327 est amusant                   et a-my-z@                    ah c' est amusant ça .
1328 est amusant                   et a-my-z@                    c' est amusant , ça mon
1329 est un                        et 1                          c' est un bouton pour filmer
1337 est éteinte                   et e-t5t                      bas elle est éteinte ,
1338 est éteinte                   et e-t5t                      aussi elle est éteinte .
1351 peut être                     p2t EtR                       elles sont peut être rangées
1353 est une                       et yn                         c' est une préparation de lessive
1356 sont elles                    s§t El                        , où sont elles ?
1361 sont elles                    s§t El                        grégoire où sont elles ?
1370 bien à                        bj5n a                        déjà très bien à poupée
1375 plus à                        plyz a                        il arrivait plus à la rattraper
1380 peut être                     p2t EtR                       on pourrait peut être aller dans
1380 est un                        et 1                          que c' est un lieu
1380 peut être                     p2t EtR                       à dire peut être .
1390 est un                        et 1                          ah c' est un morceau de
1412 est amusé                     et a-my-ze                    il s' est amusé en
1412 un air                        1n ER                         nuj d' un air de
1418 tout à                        tut a                         tout à l' heure quand tu
1439 est assez                     et a-se                       ailleurs c' est assez normal
1441 on a                          §n a                          on a des ferme fermé .
1445 quand il                      k@t il                        quand il dit allumé , il
1451 est un                        et 1                          c' est un peu variable .
1455 on a                          §n a                          on a des viens et des
1458 tout à                        tut a                         tout à l' heure quand j'
1463 est à                         et a                          papa est à la fac .
1464 est à                         et a                          adrien est à l' école .
1465 est à                         et a                          victor est à l' école .
1466 est au                        et o                          la toyota est au garage .
1468 est en                        et @                          mais c' est en filigrane
1469 est à                         et a                          c' est à dire la charnière
1469 quand on                      k@t §                         est fait quand on lui
1488 mon objectif                  m§n Ob-ZEk-tif                , dans mon objectif .
1494 peut être                     p2t EtR                       tu pourras peut être nous
1527 est un                        et 1                          c' est un monsieur ?
1539 est à                         et a                          c' est à adrien hein .
1550 est une                       et yn                         , c' est une main
1559 dans un                       d@z 1                         dans un geste de serpentin .
1562 quand elle                    k@t El                        c' est quand elle dégringole
1562 quand elle                    k@t El                        dégringole , quand elle se
1565 en a                          @n a                          y en a des noires ,
1567 mes enfants                   mez @-f@                      que si mes enfants voyaient
1569 peut être                     p2t EtR                       ils connaissent peut être mais ils
1569 en ont                        @n §                          ils n' en ont pas
1575 est un                        et 1                          papa c' est un monsieur
1584 tout à                        tut a                         tout à l' heure il est
1588 plus amusant                  plyz a-my-z@                  c' est plus amusant !
1595 est une                       et yn                         c' est une des choses qu'
1596 on en                         §n @                          ça on en a encore vraiment
1596 en a                          @n a                          ça on en a encore vraiment
1603 on en                         §n @                          on en a sur partir parti
1603 en a                          @n a                          on en a sur partir parti
1608 un objet                      1n Ob-ZE                      sens où un objet a
1609 aux échecs                    oz e-SEk                      de toucher aux échecs d'
1612 est un                        et 1                          oui c' est un cheval .
1615 est un                        et 1                          oui c' est un cheval .
1617 peut être                     p2t EtR                       ça pourrait peut être bien
1617 bien être                     bj5n EtR                      peut être bien être tombe
1623 peut être                     p2t EtR                       ça serait peut être une occurrence
1626 est une                       et yn                         que c' est une façon
1642 quand il                      k@t il                        l' humour quand il s'
1651 un oiseau                     1n wa-zo                      un oiseau qui passe ?
1654 est un                        et 1                          c' est un pigeon .
1671 quand il                      k@t il                        entendu monte quand il est
1671 un escalier                   1n Es-ka-lje                  même désigné un escalier en
1673 un escalier                   1n Es-ka-lje                  y a un escalier ,
1673 quand il                      k@t il                        escalier , quand il a
1682 est une                       et yn                         oui c' est une moto .
1685 on a                          §n a                          on a déjà eu ejo moto
1696 était un                      e-tEt 1                       c' était un chien .
1700 est un                        et 1                          ça c' est un camion jaune
1701 peut être                     p2t EtR                       ça fait peut être partie des
1702 on apprend                    §n a-pR@                      on apprend à les reconnaître pourtant
1753 est à                         et a                          puzzle il est à adrien
1766 très amusant                  tREz a-my-z@                  c' est très amusant .
1788 on entend                     §n @-t@                       quoi qu' on entend ?
1790 un avion                      1n a-vj§                      un avion ?
1811 ton oreille                   t§n o-REj                     attention à ton oreille !
1820 tout en                       tut @                         tout en haut ?
1865 on est                        §n e                          pendant qu' on est partis
1888 est à                         et a                          c' est à victor , c'
1924 les enfants                   lez @-f@                      les enfants ?
1935 est allumée                   et a-ly-me                    lumière elle est allumée .
1943 quand il                      k@t il                        et quand il dit kako je
1947 mon amour                     m§n a-muR                     chaussures , mon amour .
1975 peut être                     p2t EtR                       c' est peut être dû au
1976 peut être                     p2t EtR                       ouais ou peut être que l'
1976 plus à                        plyz a                        tonique est plus à la
1982 les exemples                  lez Eg-z@pl                   ai dit les exemples que
1984 tout à                        tut a                         et tout à l' heure il
1990 nous un                       nuz 1                         allez produis nous un peu .
1996 un oiseau                     1n wa-zo                      un oiseau .
1998 est un                        et 1                          ça c' est un oiseau
1998 un oiseau                     1n wa-zo                      c' est un oiseau ?
2055 est elle                      et El                         où est elle maman ?
2086 trouvent elles                tRuvt El                      où se trouvent elles les
2129 est un                        et 1                          c' est un kiki ?
2131 un éléphant                   1n e-le-f@                    as tu un éléphant ?
2132 est aux                       et o                          il est aux enfants ?
2132 aux enfants                   oz @-f@                       il est aux enfants ?
2153 est il                        et il                         à qui est il ?
2155 est à                         et a                          il est à victor ?
2248 est un                        et 1                          haut c' est un oiseau
2248 un oiseau                     1n wa-zo                      c' est un oiseau .
2257 on entend                     §n @-t@                       est qu' on entend ?
2277 un oiseau                     1n wa-zo                      un oiseau ?
2279 est en                        et @                          il est en haut l' oiseau
2296 dans une                      d@z yn                        on va dans une autre
2304 peut être                     p2t EtR                       je verrai peut être mieux
2319 est entré                     et @-tRe                      voisin il est entré .
2322 est elle                      et El                         voisine où est elle ?
2324 peut être                     p2t EtR                       ah peut être !
2328 tout à                        tut a                         tout à l' heure il a
2331 peut être                     p2t EtR                       tu es peut être gênant
2367 les ai                        lez E                         je les ai lavées .
2368 mon amour                     m§n a-muR                     mon amour gentil .
2370 on a                          §n a                          on a essayé .
2393 sont ils                      s§t il                        à qui sont ils ces
2424 est un                        et 1                          c' est un monsieur .
2436 est aussi                     et o-si                       remarque c' est aussi bien .
2446 est un                        et 1                          c' est un drôle de cheval
2469 est un                        et 1                          c' est un camion bleu .
2487 est un                        et 1                          c' est un monsieur là bas
2509 sont ils                      s§t il                        où sont ils ces patins à
2511 sont ils                      s§t il                        où sont ils ?
2517 vas y                         vaz i                         vas y .
2524 vas y                         vaz i                         oui vas y .
2549 on ouvre                      §n uvR                        comment on ouvre ?
2561 peut être                     p2t EtR                       oui peut être .
2565 est il                        et il                         pinpin où est il ?
2566 est il                        et il                         pinpin où est il pinpin ?
2584 est assis                     et a-si                       il s' est assis .
2585 est assis                     et a-si                       il s' est assis christian .
2609 vas y                         vaz i                         allez vas y .
2611 vas y                         vaz i                         vas y .
2618 est un                        et 1                          c' est un livre ?
2619 est un                        et 1                          c' est un livre ?
2633 est à                         et a                          le livre est à victor ?
2664 est un                        et 1                          c' est un morceau de la
2670 les as                        lez a                         coquin tu les as apportés
2699 est à                         et a                          adrien il est à l'
2713 est un                        et 1                          c' est un drôle de cheval
2756 peut être                     p2t EtR                       peut être .
2758 est une                       et yn                         c' est une madame .
2762 peut être                     p2t EtR                       ah peut être !
2766 est en                        et @                          oui elle est en bas
2774 tout éclaté                   tut e-kla-te                  il est tout éclaté .
2786 on a                          §n a                          accord mais on a compris
2787 on a                          §n a                          on a compris ta démonstration .
2816 est à                         et a                          c' est à adrien ?
2818 est un                        et 1                          c' est un avion .
2818 un avion                      1n a-vj§                      c' est un avion .
2819 est un                        et 1                          c' est un avion !
2819 un avion                      1n a-vj§                      c' est un avion !
2826 est entortillé                et @-tOR-ti-je                ça s' est entortillé là
2836 était un                      e-tEt 1                       c' était un éléphant ?
2836 un éléphant                   1n e-le-f@                    c' était un éléphant ?
2839 un éléphant                   1n e-le-f@                    un éléphant ?
2847 est une                       et yn                         c' est une balle de quoi
2848 est une                       et yn                         c' est une balle à grégoire
2851 est une                       et yn                         football c' est une balle
2878 est à                         et a                          oui il est à l'
2883 peut être                     p2t EtR                       pain maman peut être .
2892 on ouvre                      §n uvR                        on ouvre ?
2893 on ouvre                      §n uvR                        on ouvre les lunettes ?
2905 est éteinte                   et e-t5t                      elle s' est éteinte ?
2937 petit homme                   p°-tit Om                     petit homme tu mets tes chaussons
2938 les a                         lez a                         il les a cherché mais ça
2941 tout à                        tut a                         as fait tout à l'
2967 des adjectifs                 dez ad-ZEk-tif                des adjectifs possessifs ?
2972 des articles                  dez aR-tikl                   des articles .
3007 deux ans                      d2z @                         plus de deux ans maintenant
3013 les épaules                   lez e-pol                     tu hausses les épaules quand tu
3023 est assis                     et a-si                       il est assis où ?
3038 petits enfants                p°-tiz @-f@                   a les petits enfants ,
3060 tout est                      tut e                         ce que tout est bien
3060 bien arrêté                   bj5n a-Re-te                  tout est bien arrêté dans
3061 tout est                      tut e                         ce que tout est bien
3064 est assis                     et a-si                       où il est assis grégoire
3066 est assis                     et a-si                       où il est assis grégoire ?
3071 peut être                     p2t EtR                       elle est peut être pas fermée
3108 peut être                     p2t EtR                       que ça peut être ?
3114 est elle                      et El                         où est elle ?
3115 est elle                      et El                         où est elle passée ?
3116 est elle                      et El                         où est elle passée la fourmi
3117 un inconvénient               1n 5-k§-ve-nj@                y a un inconvénient .
3133 est elle                      et El                         où est elle ?
3142 des oiseaux                   dez wa-zo                     des oiseaux oui .
3173 des engins                    dez @-Z5                      des engins .
3176 des hélicoptères              dez e-li-kOp-tER              l' histoire des hélicoptères ?
3178 était un                      e-tEt 1                       c' était un hélicoptère à toi
3178 un hélicoptère                1n e-li-kOp-tER               c' était un hélicoptère à toi
3186 les erreurs                   lez E-R9R                     entérine pas les erreurs .
3188 ont une                       §t yn                         les feedback ont une importance
3192 en insistant                  @n 5-sis-t@                   et en insistant bien , en
3196 les enfants                   lez @-f@                      oui mais les enfants .
3197 on avait                      §n a-vE                       pourtant on avait dit .
3203 nous a                        nuz a                         ça ça nous a fait mourir
3203 nous avait                    nuz a-vE                      adrien ne nous avait pas
3205 était un                      e-tEt 1                       yaourt qui était un de
3205 quand il                      k@t il                        tout petit quand il avait
3216 en ai                         @n E                          là j' en ai assez .
3247 un ail                        1n aj                         faut encore un ail ,
3250 dans un                       d@z 1                         il est dans un coin où
3260 dans une                      d@z yn                        on va dans une autre
3291 tout à                        tut a                         tout à l' heure j' ai
3293 peut être                     p2t EtR                       c' est peut être justement
3298 peut être                     p2t EtR                       y a peut être pensé
3304 en a                          @n a                          il y en a encore
3311 petit homme                   p°-tit Om                     ça mon petit homme .
3316 peut être                     p2t EtR                       de filmer peut être .
3376 en as                         @n a                          tu en as bu assez .
3380 est assis                     et a-si                       qu' il est assis adrien
3395 est à                         et a                          il est à papa hein !
3396 est à                         et a                          il est à adrien aussi ?
3397 est à                         et a                          il est à victor ?
3408 on y                          §n i                          alors on y va ?
3412 quand on                      k@t §                         ce gosse quand on lui
3418 les autres                    lez otR                       que disent les autres et
3437 en avant                      @n a-v@                       mettez pas en avant comme
3451 les a                         lez a                         on les a achetées pour partir
3460 est à                         et a                          il est à toi ?
