7 dis à                         dis à mamy !
12312 vas encore                     tu vas encore mettre ça là
12316 puis il                        et puis il faut tout laisser
12316 mais il                        laisser cuire mais il ne
12316 rien ajouter                   faut plus rien ajouter dedans
12325 avais apporté                 ah tu avais apporté une cuillère
12340 doit aller                     elle doit aller promener , biscotte
12348 ben ouvre                      ben ouvre la porte alors .
12350 garder un                      bon de garder un chat
12350 chat à                        garder un chat à l'
12350 pas envie                      n' a pas envie .
12353 maintiens enfermée            tu la maintiens enfermée elle
12359 faut ouvrir                    il faut ouvrir la fenêtre .
12361 et ouvre                       la chaise et ouvre la
12370 avais été                    tu avais été très gentille .
12379 pas envie                      n' a pas envie .
12421 comment avec                   comment avec quelque chose ?
12431 mais il                        oh mais il y a beaucoup
12446 attends attends                attends attends !
12456 veux encore                    tu en veux encore , léa
12464 veux encore                    tu en veux encore ?
12476 pas encore                     n' a pas encore fini
12493 suis une                       je suis une chipie , je
12493 suis une                       , je suis une chipie
12496 lit à                         dans son lit à l' intérieur
12498 as à                          que tu as à me
12500 aller à                       aime d' aller à la
12511 ben il                         ben il est courageux , bébé
12516 bien aller                     il aime bien aller haut ,
12516 aller haut                     aime bien aller haut ,
12520 ben il                         ben il doit aboyer souvent .
12520 doit aboyer                    ben il doit aboyer souvent .
12522 glisser avec                   un peu glisser avec maman
12533 ben il                         ben il faut crier fort ,
12537 vas aller                      tu vas aller dans les nuages
12539 aller en                       contente d' aller en avion
12542 doucement avec                 dis , doucement avec tes
12546 et il                          et il était tombé ?
12554 as un                          tu as un bébé gentil ,
12557 dois aller                     tu dois aller là ?
12558 veut aller                     qui qui veut aller là
12571 voler au                       tu vas voler au ciel .
12577 bon et                         ah bon et puis ?
12580 ferait une                     elle se ferait une autre léa
12588 bon il                         ah bon il y a deux
12591 poisons aussi                  est des poisons aussi ,
12597 plus haut                      allez , plus haut que ça
12598 allez hop                      envoler , allez hop .
12606 est une                        ah c(e) est une méchante ,
12608 sont au                        qu' elles sont au ciel
12617 cheveux et                     avec des cheveux et un
12617 et un                          des cheveux et un sans
12623 ben et                         et ben et ben .
12631 était hier                    ben c(e) était hier , hein
12634 et il                          et il y avait une sorcière
12634 avait une                      il y avait une sorcière
12643 était un                      c(e) était un gentil loup ?
12646 fais avancer                   je te fais avancer ,
12654 pousser avec                   peux plus pousser avec la
12657 heureusement elle              heureusement elle ne s' est pas
12664 moins haut                     on est moins haut , hein
12664 hein oui                       haut , hein oui ,
12670 mais il                        mais il ne saurait plus t'
12671 trop haut                      il est trop haut , hein
12673 aller un                       veux tu aller un peu à
12674 pas aller                      ne veux pas aller un
12674 aller un                       veux pas aller un peu
12678 est obligé                    on est obligé de rester près
12680 ben il                         ben il va croire qu' il
12704 mais il                        mais il ne faut pas le
12714 alors il                       alors il faut arrêter celle la
12714 faut arrêter                  alors il faut arrêter celle la
12716 et alors                       et alors il faut prendre quelque
12716 alors il                       et alors il faut prendre quelque
12723 et alors                       et alors maman , elle sera
12725 mains en                       l' essuie mains en dessous
12737 bien assez                     il est bien assez mouillé
12739 fais une                       tu fais une drôle de tête
12741 es encore                      (tu) t(e) es encore fait piquer
12744 mais enfin                     mais enfin qu' est-ce que tu
12745 moustiques affamés            tant de moustiques affamés chez
12749 pas avec                       ne joue pas avec ça
12754 est encore                     il est encore sale là .
12755 est encore                     qu' il est encore sale
12756 avait une                      il y avait une tache toute
12759 sinon il                       sinon il va prendre froid .
12768 est encore                     qu' il est encore un
12776 dis à                         allez , dis à trois .
12788 et alors                       et alors léa , comment vas
12803 souhaites avoir                que tu souhaites avoir comme
12808 maman alors                    ceux de maman alors ?
12809 est ennuyeux                   , c(e) est ennuyeux ,
12811 portes à                      que tu portes à la
12819 maman aujourd'                 fête de maman aujourd' hui
12822 fait un                        tu as fait un travail
12825 pas un                         ) est pas un cadeau
12826 ben oui                        ben oui , mais ce que
12826 fait à                        tu as fait à l'
12837 et elles                       là là et elles sont
12837 sont où                       et elles sont où ?
12842 jouer avec                     sais pas jouer avec autre
12844 pas aller                      ne saurait pas aller dans
12852 parrain est                    vois quand parrain est là
12854 hein oui                       hein oui ?
12868 est une                        c(e) est une ficelle de quoi
12876 dit alors                      ai rien dit alors si
12877 et alors                       dis , et alors ?
12884 fait un                        as pas fait un petit
12886 pas appris                     ) a pas appris une
12886 appris une                     a pas appris une chanson
12889 pas évident                   ) est pas évident ,
12890 est une                        c(e) est une imprimerie , ton
12892 peut être                     ça peut être intéressant , ça
12895 avais il                       derniers tu avais il y
12895 avait un                       il y avait un petit
12895 garçon ou                     un petit garçon ou une
12898 pas aimé                      n' avais pas aimé ,
12901 et il                          et il a quel âge ,
12916 et où                         et où sont ils passés ,
12917 as utilisés                   tu les as utilisés , déjà
12920 et hier                        et hier # tu as joué
12923 vues hier                      les ai vues hier .
12927 as une                         général tu as une bonne
12938 comment appelles               comment appelles tu ça ?
12943 es une                         tu es une petit gourmande ,
12943 hein oui                       toi , hein oui ?
12950 retourner au                   il faudra retourner au magasin pour
12950 aller en                       magasin pour aller en acheter
12953 maman au                       on enverra maman au magasin ,
12956 hein oui                       hein oui ?
12958 hein oui                       parie , hein oui ?
12959 hein oui                       hein oui ?
12969 forcer avec                    air de forcer avec tes
12970 alors avec                     peut faire alors avec ton
12972 bien il                        ah bien il me semble là
12973 longtemps avec                 pas joué longtemps avec ce
12977 viens ici                      pimprenelle , viens ici !
13003 quand et                       sais pas quand et puis
13003 remis ensemble                 as tout remis ensemble sans
13006 ben oui                        oh ben oui , tu peux
13011 était une                     que c(e) était une tulipe
13016 pas une                        n' est pas une tulipe
13017 met à                         on le met à l'
13018 est une                        c(e) est une fleur .
13021 devrais essayer                tu devrais essayer de ne pas
13026 avais un                       tu avais un vieux un vieux
13026 vieux un                       avais un vieux un vieux
13030 est un                         c(e) est un tee shirt .
13034 ben oui                        ben oui , c(e) (n' )
13035 pas évident                   ) est pas évident .
13037 tout hors                      tire pas tout hors de
13041 fais attention                 fais attention au bouquet de fleurs
13041 attention au                   fais attention au bouquet de fleurs
13054 pas abandonner                 ne va pas abandonner son
13058 pas un                         ne racontes pas un peu
13064 rien à                        n' as rien à me
13066 racontes une                   tu me racontes une histoire
13067 pas une                        en inventes pas une là
13068 pas une                        n' inventes pas une petite
13109 ben essaie                     ben essaie de mettre un peu
13109 vert avec                      peu du vert avec !
13112 fait une                       ça fait une drôle de couleur
13115 pas en                         de ne pas en faire
13118 peintures à                   que des peintures à l'
13124 vont être                     tes doigts vont être beaux ?
13128 couleurs alors                 toutes les couleurs alors ,
13129 beaux ils                      pour être beaux ils sont beaux
13132 pas être                      ne va pas être sur
13137 fais un                        fais un peu voir !
13148 bientôt avoir                 on va bientôt avoir fini
13157 dis au                         mais dis au revoir , d'
13158 bien à                        et bien à la caméra ,
13161 es allée                      tu es allée à l' école
13162 fait à                        as tu fait à l'
13168 pas être                      ne devait pas être très
13172 pas allée                     ) es pas allée te
13172 promener avec                  allée te promener avec papa
13174 es allée                      tu es allée faire des courses
13178 puis après                    et puis après on est allés
13178 après on                      et puis après on est allés
13178 est allés                     après on est allés où
13178 allés où                     on est allés où ?
13179 parrain et                     avec parrain et papa et luc
13180 est allés                     on est allés où ?
13180 allés où                     on est allés où ?
13192 est allée                     maman qui est allée au
13193 étais avec                    , tu étais avec mamy
13195 est allé                      luc est allé à l' hôpital
13198 plus où                       ne sais plus où c(e)
13203 avait une                      il avait une grippe ?
13206 longtemps à                   pas resté longtemps à l'
13222 deux heures                    peut-être resté deux heures .
13223 mais il                        mais il n' est pas resté
13223 deux heures                    plus que deux heures .
13224 et alors                       et alors # et pour ton
13224 comment est-ce                 anniversaire # comment est-ce que
13225 était une                     c(e) était une grande piscine ?
13232 faut un                        il faut un peu trop froid
13246 partout alors                  en a partout alors .
13248 bien arrangés                 on est bien arrangés .
13252 est une                        c(e) est une flèche .
13266 as eu                          , t(u) as eu du
13268 bois à                        bois à la bouteille !
13269 mais enfin                     très poli mais enfin .
13277 bien alors                     eh bien alors .
13287 hein oui                       coca , hein oui ?
13290 bois encore                    tu bois encore ?
13302 pas un                         ) est pas un mensonge
13304 rien à                        n' a rien à voir
13310 feras un                       tu te feras un plaisir de
13311 ben oui                        hein , ben oui .
13312 sûrement une                  tu as sûrement une bouteille
13313 personnes ont                  toutes les personnes ont de l'
13317 est installé                  il est installé dans sa niche
13319 attention à                   attention à tes mains !
13341 prends un                      prends un peu le petit nain
13343 t il                           neige ressemble t il ,
13349 pas aller                      ne vas pas aller chercher
13355 est un                         c(e) est un beau petit nain
13356 est un                         c(e) est un des sept de
13358 jamais entier                  n' arrivera jamais entier jusqu'
13360 deviens adroite                tu deviens adroite .
13361 commencer à                   tu dois commencer à savoir
13365 ben il                         oh ben il est tel que
13367 aller à                       bébé pour aller à l'
13371 as oublié                     t(u) as oublié maintenant ?
13373 dit oui                        il dit oui ?
13386 ben on                         ben on va le faire .
13393 avez à                        que vous avez à faire
13394 tenait au                      , il tenait au petit
13394 nain avant                     au petit nain avant ,
13396 doucement avec                 fais doucement avec la plante !
13410 attends un                     oui , attends un peu ,
13414 est un                         c(e) est un nouveau verbe ,
13417 est un                         que c(e) est un mot
13420 ben oui                        ben oui , il a gardé
13430 appris à                      as tu appris à jouer
13430 jouer au                       appris à jouer au ballon
13434 jouer au                       temps de jouer au ballon
13435 est en                         quand il est en congé ?
13442 et ils                         ah et ils font quoi ,
13443 pas un                         ) est pas un magasin
13444 est une                        c(e) est une école .
13445 maman aussi                    ta maman aussi .
13446 mais alors                     mais alors .
13454 pas encore                     pas encore ?
13457 bien au                        tu joues bien au ballon .
13460 aller où                      aller où ?
13469 pas aujourd'                   pas aujourd' hui , hein .
13476 rien à                        as justement rien à dire
13482 vas encore                     sinon tu vas encore être
13488 ben oui                        ben oui , mais il vaut
13488 mais il                        oui , mais il vaut
13495 attraper un                    il va attraper un rhume ,
13497 minutes ou                     cinq minutes ou une demi heure
13500 pas avec                       non , pas avec le robinet
13502 main et                        dans une main et avec
13502 et avec                        une main et avec l'
13502 mets un                        main tu mets un petit
13512 est un                         c(e) est un drôle de robinet
13525 es en                          tu es en train d' appuyer
13525 es en                          alors tu es en train
13530 ben il                         ben il a bien failli ,
13531 emmener à                     pour l' emmener à l'
13532 es une                         t(u) es une drôle de maman
13534 puis ensuite                   et puis ensuite que vas tu
13539 mais on                        sais bien mais on mettra
13539 tout après                    on mettra tout après .
13540 partout après                 couler de partout après .
13541 pendant un                     un essuie pendant un moment
13542 maman avec                     fait , maman avec toi
13545 cheveux au                     trempes tes cheveux au robinet
13548 ben oui                        ben oui , il ne dit
13553 dis un                         dis un peu à mamy !
13554 vas arroser                    tu vas arroser les plantes ?
13564 hein avec                      ça , hein avec la
13576 parles à                      tu me parles à l'
13580 sert à                        ça sert à porter des casseroles
13581 maman aussi                    maman aussi a des maniques .
13582 as une                         t(u) en as une ,
13583 ben oui                        ben oui .
13588 ben oui                        ben oui .
13589 vas encore                     tu vas encore nous faire de
13592 vas avoir                      tu vas avoir trop chaud aux
13592 chaud aux                      avoir trop chaud aux mains
13599 attends un                     attends un peu !
13601 alors il                       alors il faut te contenter d'
13603 attention aux                  attention aux manches !
13616 pas à                         ) est pas à l'
13631 est un                         c(e) est un marchand de .
13632 est un                         c(e) est un monsieur qui prend
13633 jeter en                       chose à jeter en fer
13634 et il                          et il part avec dans sa
13634 part avec                      et il part avec dans sa
13637 ben arrête                    ben arrête l' eau !
13647 hein oui                       léa , hein oui ?
13659 et alors                       et alors , c(e) est quoi
13663 rien à                        ) ai rien à faire
13666 t il                           comment va t il aujourd'
13669 est à                         c(e) est à cause de toi
13677 est un                         c(e) est un nouveau mot ,
13680 repartis à                    nous voilà repartis à la
13682 mais on                        mais on ne pourra plus s'
13702 manger et                      tu devais manger et que
13702 pas encore                     n' as pas encore mangées
13703 avais achetée                 je l' avais achetée pour
13713 est à                         c(e) est à toi de choisir
13715 ben ouais                      ben ouais , c(e) est-ce que
13716 est à                         c(e) est à toi de choisir
13719 bouteilles en                  mettre cinquante bouteilles en route
13721 hein oui                       mousse , hein oui ?
13733 pas eu                         n' a pas eu de
13739 ben oui                        eh ben oui , tu peux
13740 donner à                      , pour donner à boire
13741 plus elle                      en plus elle n' est pas
13742 ânes il                       les petits ânes il (n'
13748 mais on                        mais on ne pourra même plus
13749 dehors et                      renfermeras parrain dehors et pas
13754 pas être                      ne veut pas être contrariée
13757 prends une                     prends une autre bouteille !
13758 mousser encore                 elle va mousser encore plus fort
13762 ben il                         oh ben il est toujours là
13763 donner à                      donner à manger à roy ,
13763 manger à                      donner à manger à roy ,
13767 vais aller                     je vais aller t' en chercher
13768 est un                         ah c(e) est un secret .
13773 main et                        lécher la main et tout
13776 viens ici                      allez , viens ici !
13777 viens ici                      viens ici ou bien je te
13779 viens ici                      viens ici !
13784 bonbons à                     sachet de bonbons à terre
13784 biscuits à                    sachet de biscuits à terre
13786 un à                          un à la fois .
13789 donnes un                      tu en donnes un à
13789 un à                          en donnes un à la
13793 biscuit est                    oh le biscuit est resté coincé
13796 pas une                        ne racontes pas une petite
13796 donnant à                     en lui donnant à manger
13803 sachet ici                     moi le sachet ici !
13811 sinon il                       sinon il sera malade .
13813 un à                          un à la fois , d'
13815 viens ici                      roy , viens ici !
13820 mais elle                      mais elle n' ose pas ,
13828 mais il                        non , mais il ne te
13834 raconter une                   vas lui raconter une histoire
13837 ben est-ce                     ben est-ce que maman ne t'
13837 pas acheté                    t' a pas acheté un
13842 sinon on                       sinon on va l' écraser .
13852 maintenant il                  et maintenant il est grand comment
13856 bon alors                      bon alors .
13859 sinon on                       ou sinon on va un petit
13868 sinon elles                    sinon elles vont faire des bulles
13882 maisons alors                  as deux maisons alors .
13885 maison aussi                   comme la maison aussi ?
13886 maisons alors                  fait trois maisons alors ?
13887 mets ah                        tu mets ah tu t(e) aimes
13897 pas à                         ne réponds pas à mamy
13901 t il                           âge a t il ,
13904 et il                          et il est si petit que
13908 vas aller                      tu vas aller chercher le gâteau
13918 vas aller                      que tu vas aller chercher
13930 pas à                         te verra pas à ta
13950 escargot à                    faire un escargot à la
13956 est une                        c(e) est une belle garniture ,
13959 fait avec                      tu as fait avec ta
13966 est un                         si c(e) est un gâteau on
13967 sinon on                       ou sinon on peut se mettre
13972 avait un                       hier il avait un an et
13972 an et                          avait un an et aujourd'
13972 et aujourd'                    un an et aujourd' hui
13979 t il                           âge a t il ,
13980 pas encore                     n' a pas encore un
13981 mois alors                     combien de mois alors ?
13983 an au                          aura un an au mois
13984 maintenant il                  donc maintenant il a onze mois
13987 mais il                        oui , mais il le
13992 mais on                        on discute mais on n' avance
13995 fais un                        tu nous fais un gâteau de
14012 hein oui                       bleue , hein oui ?
14013 et alors                       et alors qu' est-ce que tu
14015 as une                         si tu as une bonne
14020 vingt heures                   à vingt heures c(e) était cinq
14020 heures et                      était cinq heures et demie
14021 vingt heures                   vingt heures , c(e) est huit
14021 est huit                       , c(e) est huit heures
14022 est huit                       c(e) est huit heures le soir
14022 vingt heures                   soir , vingt heures .
14027 an alors                       qu' un an alors ,
14027 mets une                       si tu mets une bougie
14028 bougies alors                  , des bougies alors ?
14029 ben oui                        ben oui , combien est-ce qu'
14029 combien est-ce                 oui , combien est-ce qu'
14030 pas une                        n' est-ce pas une par an
14038 ben il                         ben il t' en faut ,
14040 ben allez                      en ben allez .
14081 est allé                      il est allé faire des courses
14086 combien est-ce                 combien est-ce qu' il en faut
14088 as encore                      ) en as encore fait
14089 faut encore                    il en faut encore combien maintenant
14096 mais il                        oh mais il est fatigué ,
14111 est une                        c(e) est une très grosse aussi
14116 trois ans                      ça fait trois ans là
14117 est un                         mais c(e) est un petit garçon
14117 garçon ou                     un petit garçon ou une
14118 est un                         ah c(e) est un petit garçon
14119 ben oui                        ben oui , mais il faudrait
14119 mais il                        oui , mais il faudrait
14120 un ou                          est l' un ou l'
14121 ben oui                        ben oui .
14123 est une                        principe c(e) est une petit
14137 et il                          là là et il (n'
14140 sautes aussi                   tu sautes aussi haut que ton
14141 appris à                      as tu appris à sauter
14141 sauter aussi                   appris à sauter aussi haut
14146 bien il                        le consoles bien il ne
14150 viens ici                      viens ici , chouchou !
14154 filles alors                   des petites filles alors ?
14158 fort alors                     l' aimes fort alors ,
14159 fais ennuyer                   tu le fais ennuyer tout
14159 temps alors                    tout le temps alors ?
14168 est un                         c(e) est un joli prénom ,
14172 fait une                       ça fait une grosse différence ,
14175 est autre                      , c(e) est autre chose
14181 moment il                      pour le moment il a
14181 ans et                         a cinq ans et il
14181 et il                          cinq ans et il aura
14183 ben on                         ben on ne veillit pas d'
14192 jamais entendu                 ) avais jamais entendu ,
14196 parrain est                    hein , parrain est plus
14198 fait une                       il a fait une langue ?
14200 mauvais exemple                quel mauvais exemple .
14202 vas aller                      tu vas aller dans le coin
14204 coin avant                     dans le coin avant .
14210 vas éternuer                  poivre tu vas éternuer ,
14212 ben alors                      ben alors c(e) est de la
14214 ben on                         ben on est chouettes .
14227 deux autres                    de faire deux autres alors
14227 autres alors                   faire deux autres alors .
14231 faut encore                    il en faut encore une .
14239 joyeux anniversaire            joyeux anniversaire , joyeux anniversaire ,
14239 joyeux anniversaire            anniversaire , joyeux anniversaire ,
14243 situation actuelle             de la situation actuelle en
14248 dis un                         dis un peu à maman !
14250 suis allée                    je suis allée dans l' eau
14255 est à                         c(e) est à mamy .
14257 est au                         maintenant c(e) est au tour
14258 maintenant on                  vacances et maintenant on revient
14258 est à                         donc c(e) est à léa
14262 mais il                        mais il a fallu du temps
14263 et on                          et on a fait faire quoi
14272 et avec                        avec léa et avec luc
14274 pas avoir                      ne faut pas avoir de
14275 ben on                         aujourd' hui ben on va
14277 hein oui                       mordant , hein oui .
14278 ben oui                        oui ben oui .
14283 et un                          et un short .
14284 chaud aux                      pour avoir chaud aux petits bras
14284 bras et                        aux petits bras et au
14284 et au                          petits bras et au petit
14285 chaud aussi                    pour avoir chaud aussi .
14286 après oui                     après oui .
14288 pas un                         n' est pas un chardon
14291 et en                          et en france tu as fait
14297 avait un                       il y avait un petit loïc
14299 temps avec                     tout le temps avec qui
14305 et avant                       avant lolita et avant florent
14306 était une                     , c(e) était une petite
14311 étaient au                    ils étaient au camping avec leurs
14312 était au                      julie était au camping avec ses
14316 habitons à                    , nous habitons à liège
14320 gratter alors                  faut se gratter alors .
14324 ben oui                        ben oui , forcément .
14325 blanches et                    petites lignes blanches et puis
14325 puis ensuite                   blanches et puis ensuite ça
14329 est un                         c(e) est un sot , hein
14333 es allée                      et tu es allée nager où
14333 nager où                      es allée nager où #
14337 est agréable                  , c(e) est agréable .
14338 es allée                      et tu es allée nager avec
14338 nager avec                     es allée nager avec qui
14340 et avec                        avec papa et avec maman .
14345 revient au                     ça revient au même , hein
14346 est une                        , c(e) est une auto
14355 puis à                        coquille et puis à côté
14361 et elle                        s' évapore et elle est
14361 est arrêtée                  et elle est arrêtée par
14362 et alors                       et alors , tu vois ,
14364 doit ajouter                   et maman doit ajouter de l'
14367 pas avec                       n' appuie pas avec tes
14368 pas appuyer                    ne peux pas appuyer avec
14368 appuyer avec                   peux pas appuyer avec tes
14376 demain ils                     et pour demain ils annoncent chaud
14376 chaud encore                   ils annoncent chaud encore .
14377 et après                      et après demain aussi .
14377 demain aussi                   et après demain aussi .
14378 demain après                  chaud , demain après demain
14388 ben oui                        ben oui , mais c(e) est
14392 jours à                       tous les jours à midi
14396 sert à                        ça ne sert à rien .
14408 mis un                         on a mis un plastique sur
14414 rien à                        n' a rien à voir
14424 est une                        c(e) est une crasse , hein
14425 est un                         c(e) est un petit escargot mort
14427 maman a                        maman a raison .
14428 est un                         c(e) est un tout petit minuscule
14430 est un                         c(e) est un bébé escargot .
14436 ont une                        elles ont une petite cocue .
14438 ben oui                        ben oui , j(e) ai voulu
14439 ont une                        , elles ont une petite
14441 ont une                        , elles ont une petite
14453 chez elle                      elle joue chez elle , marine
14463 manger à                      tu vas manger à midi
14464 maman a                        sais que maman a racheté
14474 pas aller                      ne peux pas aller voir
14481 fait exprès                   a pas fait exprès ,
14485 pas en                         le mets pas en bouche
14490 pas envie                      ) ai pas envie d'
14495 mais il                        toutes , mais il y
14500 pas oublié                    ) a pas oublié ,
14501 mais oui                       mais oui parce qu' il est
14502 ben oui                        ben oui .
14503 comment il                     sait pas comment il est
14512 est une                        c(e) est une autruche , hein
14513 hein oui                       hein oui ?
14514 autruches ici                  voir les autruches ici plus
14515 trois autruches                y a trois autruches ici
14515 autruches ici                  a trois autruches ici en
14516 ben on                         ben on est allés voir mais
14516 est allés                     ben on est allés voir mais
14516 mais elles                     allés voir mais elles n'
14524 chien il                       promener le chien il les
14529 viens un                       viens un peu près de mamy
14537 racontes aujourd'              tu nous racontes aujourd' hui
14539 est un                         c(e) est un nouveau bébé ?
14540 gros avant                     était plus gros avant ?
14543 est un                         c(e) est un petit garçon ,
14545 bébés alors                  as deux bébés alors ,
14548 est allée                     elle est allée se coucher tard
14553 as entendu                     toi qui as entendu quelque
14558 dormez ensemble                vous dormez ensemble ?
14561 et alors                       et alors qu' est-ce qu' on
14565 est en                         il est en train de cuire
14567 et il                          et il doit cuire longtemps encore
14567 longtemps encore               doit cuire longtemps encore ?
14573 t elle                         où va t elle , le
14574 est avec                       aha c(e) est avec de la
14585 est une                        c(e) est une petite moumouche .
14593 ben on                         ben on va essayer de faire
14594 pas évident                   ) est pas évident ,
14596 chat et                        le petit chat et le gâteau
14597 mais on                        mais on ne peut pas tout
14598 pas assez                      y a pas assez de
14602 est un                         qu' elle est un peu
14607 chat ou                        le petit chat ou le gâteau
14617 et on                          et on va lui mettre des
14617 pattes et                      mettre des pattes et une
14617 et une                         des pattes et une queue
14617 hein oui                       queue , hein oui ?
14618 puis une                       et puis une tête .
14647 mais oui                       mais oui , mais attends !
14647 mais attends                   oui , mais attends !
14650 pas encore                     n' est pas encore né
14656 pas un                         mais pas un petit chat ,
14659 bébés humains                # les bébés humains ,
14659 bébés humains                font les bébés humains .
14660 es un                          , tu es un humain
14690 fait une                       tu as fait une lettre
14692 ben il                         ah ben il y en a
14694 fait un                        elle a fait un l ,
14698 fais un                        et tu fais un e
14699 fais un                        fais un e maintenant !
14700 tout et                        tu effaces tout et tu fais
14700 fais un                        et tu fais un e
14702 pas à                         ) est pas à luc
14702 est à                         luc c(e) est à léa
14703 est en                         , elle est en train
14712 est un                         c(e) est un l à l'
14713 était un                      si c(e) était un l
14713 fait à                        un l fait à l'
14715 pas avec                       le pique pas avec ta
14716 pas une                        ) est pas une raison
14717 est un                         , c(e) est un fourchette
14722 frappes avec                   si tu frappes avec il est
14722 bien évident                  il est bien évident que
14723 ben elle                       ben elle glisse .
14727 jouer avec                     c(e) est jouer avec toi
14727 et apprendre                   avec toi et apprendre .
14731 jouer avec                     bien pouvoir jouer avec toi
14732 es un                          façon tu es un peu
14734 apprend avec                   il apprend avec toi .
14736 es une                         tu es une grande fille ,
14738 partout à                     la plasticine partout à terre
14746 est étonnant                  c(e) est étonnant , ça .
14757 plus il                        plus il y a des coups
14757 meilleures elles               fourchette et meilleures elles sont
14762 est à                         qu' il est à l'
14771 est une                        c(e) est une petite fille .
14773 as un                          tu as un modèle ?
14775 ben oui                        ben oui , c(e) est la
14783 pas où                        ne sais pas où elle
14791 est aussi                      elle est aussi grosse que ça
14792 est un                         qu' elle est un peu
14795 viens un                       luc , viens un peu #
14796 pas à                         ) est pas à luc
14798 pas une                        y a pas une autre
14800 doit y                         il doit y en avoir une
14803 est un                         , c(e) est un bandit
14807 rend un                        luc , rend un peu la
14812 bien alors                     eh bien alors laisse jouer luc
14820 bien où                       me demande bien où elle
14822 pas une                        s' appelle pas une fourchette
14823 est une                        c(e) est une spatule .
14835 fait hier                      tu as fait hier avec
14841 bon avec                       fait de bon avec tes
14846 est une                        c(e) est une mémère .
14847 est une                        c(e) est une curieuse .
14848 hein oui                       hein oui , t(u) es une
14848 es une                         , t(u) es une mémère
14849 est une                        que c(e) est une curieuse
14851 cousines à                    tes petites cousines à quoi
14852 principalement avec            principalement avec quoi ?
14858 alors explique                 alors explique !
14862 fait hier                      tu as fait hier .
14865 pas envie                      ) as pas envie ah
14866 est une                        , c(e) est une bonne
14877 pas entendu                    ) ai pas entendu ,
14887 dis un                         dis un peu !
14889 ben alors                      eh ben alors dis le !
14900 est une                        c(e) est une date à retenir
14902 pas à                         ne sais pas à quelle
14905 moment est                     quand le moment est venu
14909 pas et                         ne sauras pas et alors
14909 et alors                       sauras pas et alors saint
14913 allez allez                    ça , allez allez .
14916 mais il                        oui , mais il a dit
14917 pas alors                      n' oublieras pas alors que
14919 t il                           ou faudra t il que je
14922 pas entendu                    n' ai pas entendu .
14927 fais un                        fais un peu avec tes doigts
14935 est huit                       , c(e) est huit ,
14950 est une                        donc c(e) est une plume ,
14953 bien une                       eh bien une autruche .
14955 vues ou                        les as vues ou non
14956 hein oui                       ça , hein oui ?
14959 corps ou                       son corps ou la tête ?
14961 est une                        c(e) est une petite autruche ,
14973 est un                         c(e) est un éléphant et qu'
14973 éléphant et                  est un éléphant et qu'
14979 et alors                       et alors comment se fait il
14984 sinon on                       parce que sinon on n'
14984 plus et                        n' entend plus et mamy
14984 transcription elle             faire la transcription elle entend
14985 alors elle                     alors elle n' entend pas clairement
14988 mais enfin                     oui , mais enfin je ne
14997 hein oui                       rêves , hein oui ?
15001 pas autre                      non , pas autre ruche .
15006 pas obligée                   ) es pas obligée d'
15011 et alors                       et alors de quelle couleur était
15022 avait orange                   il y avait orange , il
15023 puis un                        et puis un jour elmer ,
15031 et alors                       et alors il était content ?
15031 alors il                       et alors il était content ?
15034 voulait être                  il voulait être comme , comme
15035 ben oui                        ben oui .
15036 non oui                        non oui .
15043 fait alors                     ils ont fait alors ?
15046 puis alors                     et puis alors qu' est-ce qu'
15067 mais y                         mais y en a t il
15067 t il                           en a t il une
15068 préfères encore              que tu préfères encore !
15071 pas une                        en as pas une autre
15076 hein oui                       mamy , hein oui ?
15079 dis un                         dis un peu à mamy !
15081 est à                         c(e) est à dire lundi prochain
15084 mis à                         aurais déjà mis à l'
15087 aller à                       ils d' aller à l'
15088 mais écoute                   oui , mais écoute un petit
15089 maman est                      maman est là quand vous revenez
15093 aller à                       est d' aller à l'
15095 puis on                        et puis on se retrouve le
15096 et on                          et on a bon , tous
15097 et alors                       et alors que vas tu aller
15109 rien à                        y a rien à faire
15110 acheter au                     peut tout acheter au magasin
15111 est écrit                     oh il est écrit un chiffre
15111 écrit un                      il est écrit un chiffre
15113 vais aller                     , je vais aller te
15117 fait encore                    il te fait encore des soucis
15127 essuyer après                 pour s' essuyer après la
15128 mais il                        oui , mais il y a
15137 hein oui                       prénom , hein oui ?
15146 mais enfin                     mais enfin , quelle idée as
15149 dort il                        il dort il dort ?
15153 parles on                      quand tu parles on entend plus
15158 hein oui                       luc , hein oui .
15160 maintenant il                  maintenant il faut s' occuper du
15162 t il                           s' appelle t il ,
15165 t il                           s' appelle t il alors
15167 terminent en                   qui se terminent en ine
15172 gâteaux à                    et des gâteaux à quoi vas
15173 chocolat et                    au chocolat et à la fraise
15173 et à                          au chocolat et à la fraise
15176 beaucoup alors                 en faudra beaucoup alors ,
15181 fait à                        il sera fait à quoi
15183 regarderas après              tu regarderas après .
15191 diras avec                     tu me diras avec quelles
15195 chocolat en                    fait le chocolat en mauve
15196 pas une                        ) est pas une mauvaise
15199 fais en                        je le fais en n'
15202 chocolat en                    fait le chocolat en mauve
15203 hein oui                       blanc , hein oui .
15208 blancs ensemble                tous les blancs ensemble .
15209 faisant en                     en le faisant en vert
15209 est aux                        vert c(e) est aux kiwis
15213 fruits est-ce                  quels fruits est-ce que tu manges
15224 faut ajouter                   il faut ajouter beaucoup de sucre
15231 hein oui                       meilleures , hein oui ?
