7 dis à                         dis à mamy !
791 as appuyé                     où tu as appuyé tout
793 pas appuyer                    ne faut pas appuyer là
795 faut appuyer                   qu' il faut appuyer .
798 as appuyé                     puisque tu as appuyé .
802 faut appuyer                   il faut appuyer là .
803 non il                         non il faut arrêter d' abord
803 faut arrêter                  non il faut arrêter d' abord
803 abord et                       arrêter d' abord et puis
807 et en                          et en attendant tu me dirais
809 est où                        il est où , ce petit
817 rien arrêter                  ne faut rien arrêter du
819 est arrêté                   maintenant tout est arrêté .
828 est au                         ou elle est au dessus de
846 faut appuyer                   (il) faut appuyer , il faut
846 faut appuyer                   , il faut appuyer doucement
846 alors elle                     la cassette alors elle rentre
849 dois appuyer                   que tu dois appuyer ,
851 abord il                       d' abord il faut appuyer sur
851 faut appuyer                   abord il faut appuyer sur
858 attends une                    attends une minute , léa !
873 est un                         c(e) est un petit .
874 est une                        c(e) est une souris , ça
876 est une                        oui c(e) est une chique .
879 est un                         , c(e) est un #
909 dis à                         que tu dis à part
924 habites où                    et tu habites où ?
926 habites à                     et tu habites à liège avec
927 maman et                       papa , maman et maman .
930 t il                           âge a t il donc
931 non il                         oh non il n' est pas
934 et avec                        et avec qui tu aimes tant
935 jouer avec                     bien de jouer avec ton
936 jouer à                       tu aimes jouer à la balançoire
938 est une                        c(e) est une sorte de balançoire
941 est un                         (la-balançoire) c(e) est un coq
948 avaler entière                pas l' avaler entière .
949 avales entières               tu les avales entières ?
950 mâches un                     tu mâches un petit peu et
955 puis on                        et puis on mâche encore et
955 et on                          mâche encore et on avale
957 est un                         c(e) est un bon biscuit ,
962 devrais être                  tu devrais être plus grosse que
965 chanter il                     que pour chanter il faut
965 faut avoir                     chanter il faut avoir la
972 quand est-ce                   quand est-ce qu' il arrive ,
976 vas encore                     tu vas encore manger une chique
976 manger une                     vas encore manger une chique
988 dis à                         que tu dis à parrain
995 mais elle                      mais elle aime bien plaisanter ,
1009 chiques oranges                pas des chiques oranges chez
1014 deux à                        pas deux à la fois .
1022 as une                         tu as une belle robe .
1024 viens ici                      viens ici plus près !
1031 as une                         ah tu as une belle robe
1032 pas envie                      ) as pas envie de
1044 demander une                   t' en demander une .
1051 hein oui                       hein oui ?
1057 doit aller                     que elle doit aller .
1058 laisser aller                  faut la laisser aller .
1061 est en                         c(e) est en ordre .
1064 allumait un                    si on allumait un peu la
1065 ferait aller                   on ferait aller marie poppins .
1067 faut appuyer                   qu' il faut appuyer .
1097 laver aussi                    faut la laver aussi ,
1103 es occupée                    tu es occupée ?
1104 ben oui                        ben oui mais occupée à quoi
1104 mais occupée                  ben oui mais occupée à quoi
1110 pas essuyer                    ne veux pas essuyer la
1113 puis on                        et puis on laissera sécher ?
1124 alors elle                     parles , alors elle enregistre
1125 toucher à                     pas toucher à ce bouton là
1128 alors on                       alors on n' entendra plus rien
1134 pas aller                      ne veux pas aller tirer
1143 pas ouvrir                     ne veux pas ouvrir la
1154 sais où                       , tu sais où il
1160 temps en                       , de temps en temps
1171 dis un                         dis un peu ce que tu
1176 est avec                       il est avec roy ?
1184 est avec                       il est avec pongo .
1192 restes avec                    tu restes avec nous , hein
1197 est une                        c(e) est une lampe de poche
1199 est à                         c(e) est à qui alors ?
1200 est à                         c(e) est à daddy ?
1214 es assez                       tu es assez grande .
1229 mais il                        mais il y a la petite
1232 t on                           comment va t on faire ?
1240 attends attends                attends attends attends attends attends !
1240 attends attends                attends attends attends attends attends !
1240 attends attends                attends attends attends attends attends !
1240 attends attends                attends attends attends attends !
1242 moment il                      pour le moment il (n'
1243 apparemment elle               donc , apparemment elle n' est
1251 pas évident                   ) est pas évident ,
1253 fait exprès                   c(e) est fait exprès , remarque
1264 doit être                     la pile doit être mise là
1274 ben oui                        ben oui , j(e) essaye de
1275 ben ouvre                      ben ouvre la , toi !
1286 suis en                        je suis en train de tout
1288 filmer et                      saurait pas filmer et ouvrir
1288 et ouvrir                      pas filmer et ouvrir la
1290 est une                        c(e) est une lampe qui est
1292 as un                          tu as un joli t shirt
1297 pas une                        n' est pas une question
1298 parrain a                      , que parrain a dit
1305 fais avec                      que tu fais avec tes
1306 es occupée                    que tu es occupée .
1307 es occupée                    tu es occupée à quoi faire
1321 pas achevé                    n' as pas achevé ton
1323 ben oui                        ben oui c(e) est l' occasion
1332 prends encore                  mais tu prends encore du savon
1337 savon il                       le savon il y a trop
1346 sinon elles                    sinon elles seront toutes mouillées .
1351 es encore                      tu es encore plus jolie comme
1355 es encore                      tu es encore plus jolie au
1357 prends encore                  tu prends encore du savon ?
1358 vas encore                     tu vas encore avoir mal aux
1373 sert à                        ah ça sert à fermer la
1376 sont enlevées                 les manches sont enlevées .
1379 faut enlever                   il faut enlever le pantalon aussi
1379 pantalon aussi                 enlever le pantalon aussi ?
1382 maintenant on                  maintenant on ne peut plus rien
1383 non on                         non on ne &s , on
1389 coussin à                     le coussin à langer , ah
1390 coussin à                     voilà le coussin à langer
1393 hein oui                       hein oui ?
1397 non il                         non il ne faut pas mettre
1406 mais il                        mais il faut prendre ta manique
1407 laver avec                     pas la laver avec tes
1424 sales et                       genoux sont sales et les
1424 pieds aussi                    les petits pieds aussi .
1436 non il                         ben non il y a une
1443 faut encore                    il faut encore du savon ?
1444 bien il                        eh bien il y en aura
1452 vais aller                     je vais aller le chercher ,
1453 bien où                       je sais bien où il est
1458 sert à                        ça ne sert à rien
1462 sert à                        ça ne sert à rien de
1472 fais une                       fais une bulle pour parrain !
1475 pas avec                       oui mais pas avec ça .
1488 réponds oui                   réponds oui mamy , si il
1496 coussin à                     sur le coussin à langer
1496 langer et                      coussin à langer et elle
1496 et elle                        à langer et elle attend
1503 touches à                     que tu touches à l'
1505 es un                          que tu es un gros
1511 est un                         , c(e) est un petit
1515 veux un                        tu veux un dodo maintenant ?
1524 pas à                         (ne) touche pas à ça !
1528 mais enfin                     mais enfin tu vois ce que
1528 fais avec                      que tu fais avec les
1534 fais avec                      que tu fais avec sa
1553 mais elle                      mais elle sait chanter , parrain
1556 chanter alors                  coeur à chanter alors ?
1570 prends un                      prends un petit peu ton jeu
1572 choisis un                     choisis un jeu !
1576 mais il                        oui mais il faut prendre de
1578 correspond à                  jeu qui correspond à ce
1581 ben oui                        ben oui mais c(e) est pareil
1584 jouer il                       ben pour jouer il faut tout
1594 mais il                        mais il y en a encore
1599 vois encore                    j(e) en vois encore un
1603 pas un                         ) est pas un pion
1604 pas un                         n' est pas un pion
1605 bon alors                      bon alors maintenant il faut prendre
1605 maintenant il                  bon alors maintenant il faut prendre
1608 non on                         non on ne touche pas à
1608 pas à                         ne touche pas à ça
1631 dis un                         dis un peu je suis la
1635 jouer avec                     même pas jouer avec mamy
1637 pas avec                       joues même pas avec moi
1654 non il                         non il y en a assez
1655 vas en                         non tu vas en laisser partout
1664 sinon on                       parce que sinon on ne
1664 pas utiliser                   ne pourra pas utiliser le
1672 est allé                      il est allé chercher ça sur
1678 pas une                        (il-n' y-a) pas une seule cigarette
1686 cigarettes à                  fait ses cigarettes à la
