537  marche plus                   maRS° ply                     sais i(l) marche plus c(el)ui
539  marche plus                   maRS° ply                     ah i(l) marche plus .
1524 verse plus                    vERs° ply                     ça verse plus ?
114281ours brun                     uRs° bR1                      r(e)trouvé petit ours brun ?
114290ours brun                     uRs° bR1                      puis petit ours brun découvre un
114293ours brun                     uRs° bR1                      petit ours brun répond c' est
114299ours brun                     uRs° bR1                      hein petit ours brun hein
114310ours brun                     uRs° bR1                      petit ours brun .
114313ours brun                     uRs° bR1                      petit ours brun joue à la
114314ours brun                     uRs° bR1                      petit ours brun veut jouer à
114327ours brun                     uRs° bR1                      petit ours brun ne trouve pas
114337ours brun                     uRs° bR1                      petit ours brun cherche des belles
114343ours brun                     uRs° bR1n                     petit ours brun est d' accord
114367ours brun                     uRs° bR1                      est petit ours brun ça
116175marche plus                   maRS° ply                     e(lle) marche plus .
116208marche plus                   maRS° ply                     e(lle) marche plus .
116209marche plus                   maRS° ply                     elle marche plus .
116689Ours Blanc                    uRs° bl@                      Ours Blanc là ?
118129marche plus                   maRS° ply                     , ça marche plus !
119848ours brun                     uRs° bR1                      lequel petit ours brun ?
119853ours brun                     uRs° bR1                      comment petit ours brun ?
119854ours brun                     uRs° bR1                      est petit ours brun ?
119859ours brun                     uRs° bR1                      le petit ours brun c' est
120010ours brun                     uRs° bR1                      mettait petit ours brun dans
120030ours brun                     uRs° bR1                      sages petit ours brun et
120166marche plus                   maRS° ply                     elle marche plus .
120361marche plus                   maRS° ply                     i(l) marche plus ?
120781arbres fruitiers              aRb° fR8i-tje                 pousser les arbres fruitiers ?
121147ours brun                     uRs° bR1                      encore petit ours brun .
122369marche plus                   maRS° ply                     i(l) marche plus très bien .
122533marche plus                   maRS° ply                     i(l) marche plus non ?
122534marche plus                   maRS° ply                     ça marche plus les piles elles
