1829 veux ou                        tu l(e) veux ou pas ?
1839 mais oui                       ah mais oui par la poignée
1840 profites hein                  t(u) en profites hein ?
1851 peux y                         tu peux y aller !
1854 emmènes avec                  tu m' emmènes avec toi ?
1856 viens avec                     je viens avec toi ?
1879 trouver aut(r)e                on va trouver aut(r)e chose à
1882 pas assez                      c' est pas assez grand pour
1885 viens avec                     tu viens avec moi alors !
1898 voulez un                      vous voulez un café , un
1899 bien un                        j(e) veux bien un café
1912 rentres encore                 oui tu rentres encore dans c(e)
1913 profites en                    profites en .
1921 ben alors                      ben alors !
1931 et oui                         regarde et oui .
1939 attends on                     attends on va se mettre en
1949 attends hop                    attends hop , hop là .
1952 as un                          donc t(u) as un un
1953 sais en                        tu sais en faire ?
1965 pas hein                       le perds pas hein attention
1965 hein attention                 perds pas hein attention hein
1965 attention hein                 pas hein attention hein ?
1969 ben oui                        oh ben oui ça y est
1970 compris alors                  t(u) as compris alors attends .
1970 alors attends                  as compris alors attends .
1974 marchait hein                  comment ça marchait hein .
1980 moins intéressant             c' est moins intéressant * mais
2000 attention y                    attention y a le camion derrière
2001 attend on                      attend on enlève , on enlève
2022 pas un                         c' est pas un sac .
2024 mis hein                       aurais tout mis hein .
2027 es où                         ben t(u) es où ?
2037 es où                         ben tu es où ?
2042 vas attraper                   tu vas attraper le hoquet .
2048 revient hein                   elle revient hein .
2071 alors on                       alors on le met .
2075 allez encore                   allez encore une fois et puis
2075 fois et                        encore une fois et puis
2075 puis après                    fois et puis après on
2075 après on                      et puis après on referra
2076 allez hop                      allez hop .
2080 arriver hein                   va y arriver hein .
2083 regardes hop                   regardes hop .
2089 et on                          hop et on retire .
2092 regardes hop                   allez regardes hop .
2094 doigts on                      mets tes doigts on voit
2098 allez hop                      allez hop .
2108 ben oui                        oh ben oui je viens de
2111 trouves aut(re)                trouves aut(re) chose .
2116 et où                         et où tu vas ?
2120 regardes y                     regardes y en a un autre
2121 doit y                         il doit y en avoir un
2128 ben alors                      ben , ben alors t(u)
2137 ben oui                        ben oui c(e)lui là il est
2139 ben alors                      ben alors .
2147 attends un                     ah attends un petit peu .
2149 fais attention                 fais attention hein .
2149 attention hein                 fais attention hein .
2160 voulez un                      vous en voulez un autre ?
2166 allez à                       allez à toi .
2175 en haut                        le mettre en haut .
2178 pied anaïs                    lever le pied anaïs .
2184 ouais hou                      ouais hou la .
2193 es arrivé                     t(u) y es arrivé ?
2195 attends on                     attends on va mettre le siège
